vehicleType,benefit,checked,valuation,make,supplier,mileage,supplierPrice,year,comment,url
Truck,14.0,False,4985438.0,IVECO,,109000.0,4350000.0,2018.0,Продается Грузовой тягач седельный IVECO STRALIS AT440S48T PRR  4х2 конец 2018 года выпуска в хорошем состоянии  Пробег 109 тыс км  Есть еще варианты тягачей 4х2 2018г с аналогичными пробегами и состоянием  Звонить и осмотр в рабочее время    Обмен  Лизинг не возможны  Предложение ограниченно по времени  Местонахождение  Ставропольский край  с  Надежда  МКР 1,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16560590-6ed4a025/
Truck,17.0,False,3339612.0,KAMAZ,ООО УралСпецКран,30000.0,2850000.0,2017.0,Седельный тягач Камаз 43118 46 в отличном состоянии  пробег реальный 30 тыс  км Год выпуска 2017  колесная формула 6х6  спальное место ДВС Камаз 740662 Евро 4  КПП ZF 9S1310 TO Шины с подкачкой 425 85R21 Высота ССУ 1530 Нагрузка на седельно сцепное устройство 12 тонн Топливные баки  л 210 350 Тахограф Вложений не требует  цена с НДС  возможен лизинг,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/
Truck,54.0,False,3855663.0,KAMAZ,,44000.0,2500000.0,2018.0,Автомобиль полностью исправен ТО производилось своевременно  С перегрузом не ездил   За машину не стыдно  Хорошая альтернатива новому авто  Возможна продажа с П П НЕФАЗ 93341 07 2011г  грузоподьемность 32 тн   Цена за сцепку 3100000  Возможна прожажа с НДС,https://auto.ru/artic/used/sale/kamaz/53504/16583924-e5d53b62/
Truck,30.0,False,1892905.0,KAMAZ,Global Truck Sales Санкт-Петербург,662800.0,1450000.0,2016.0,Седельный тягач Камаз 2016 года  Продажа за наличные  Тягач в отличном состоянии  ТО делалось регулярно  Тягач не имеет технических и юридических проблем  оригиналы документов на руках  Плюсы    своевременное техническое обслуживание    перед продажей проводилась полная диагностика   ходил без перегрузов   техника с полным НДС Техническое описание     Год изготовления  2016   Изготовитель  Россия   Объем двигателя  куб см  11 967    Разрешенная максимальная масса  кг  18 600     Масса без нагрузки  кг  7 900   Экологический класс  ЕВРО 5   Мощность двигателя  л с  401   Тип КПП  Механическая   Колесная формула  4х2   Тип подвески  Пневмо рессорная   Пробег  км  662 800 Дополнительная информация    Кондиционер   Магнитола   Инструментальный ящик   Солнцезащитный козырек   Автономный отопитель   Тахограф   Люк   Электростеклоподъёмники   ABS   Межколесная блокировка   1 спальное место   2 топливных бака  400 л   400 л   артикул 72134  Глобал Трак Сейлс   официальный дилер Mercedes Benz  KRONE  Sсhmitz Cargobull  Fliegl  Kassbohrer  Grunwald  Kogel  MAN  Wielton  Zaslaw  ТверьСтройМаш  Возможно приобретение техники в кредит лизинг   Мы являемся аккредитованной компанией в таких лизинговых  как Европлан  ВТБ Лизинг  Вэб лизинг  Элемент лизинг  Балтийский Лизинг,https://auto.ru/artic/used/sale/kamaz/5490/16284530-53f641ab/
Truck,13.0,False,2274507.0,KAMAZ,,360000.0,2000000.0,2017.0,Своевременное техническое обслуживание  Не требует дополнительных вложений  Торг возможен при осмотре,https://auto.ru/artic/used/sale/kamaz/5490/16296706-4591b5d1/
Truck,19.0,False,1892905.0,KAMAZ,Global Truck Sales Санкт-Петербург,685458.0,1590000.0,2016.0,Плюсы    Комплексная предпродажная подготовка   На руках диагностика  проведена перед продажей   хорошая компрессия  рабочее состояние   Хороший остаток резины   Цена указана с НДС  Техническое описание     Год изготовления  2016   Изготовитель  Россия   Объем двигателя  куб см  11 967   Разрешенная максимальная масса  кг  18 600    Масса без нагрузки  кг  7 900   Экологический класс  ЕВРО 5   Мощность двигателя  л с  401   Тип КПП  Механическая   Колесная формула  4х2   Тип подвески  спереди рессорная  сзади  полурессорная   Пробег  км  685 458 Дополнительная информация    Магнитола   Кондиционер   Инструментальный ящик   Спойлер   Солнцезащитный козырек   Автономный отопитель   Тахограф   Люк   Электростеклоподъёмники   ABS   Межколесная блокировка   1 спальное место   2 топливных бака Глобал Трак Сейлс   официальный дилер Mercedes Benz  KRONE  Sсhmitz Cargobull  Fliegl  Kassbohrer  Kogel  MAN  Wielton  Zaslaw  ТверьСтройМаш  Возможно приобретение техники в кредит лизинг   Мы являемся аккредитованной компанией в таких лизинговых  как Европлан  ВТБ Лизинг  Вэб лизинг  Элемент лизинг  Балтийский Лизинг,https://auto.ru/artic/used/sale/kamaz/5490/16333482-74c9a250/
Truck,12.0,False,1892905.0,KAMAZ,Global Truck Sales Москва Север,507000.0,1690000.0,2016.0,Седельный тягач Камаз 2016 года Один собственник  ПТС оригинал  эксплуатация с 02 2016  Тягач работал с тентовым полуприцепом  Не имеет технических и юридических проблем  Плюсы     Своевременное техническое обслуживание   Перед продажей проводилась полная диагностика   Магистральное использование   Без перегрузов Минусы  Незначительные косметические дефекты Рекомендации  сделать ТО Техническое описание     Год изготовления  2016   Изготовитель  Россия   Объем двигателя  куб см  11 967   Разрешенная максимальная масса  кг  18 600   Масса без нагрузки  кг  7 900   Экологический класс  ЕВРО 5   Мощность двигателя  л с  401   Тип КПП  Механическая   Колесная формула  4х2   Тип подвески  Пневмо рессорная   Пробег  км  507 000 Дополнительная информация    Кондиционер   Инструментальный ящик   Спойлер   Солнцезащитный козырек   Автономный отопитель   Тахограф   Люк   Электростеклоподъёмники   ABS   Межколесная блокировка   1 спальное место   2 топливных бака Глобал Трак Сейлс   официальный дилер Mercedes Benz  KRONE  Sсhmitz Cargobull  Fliegl  Kassbohrer  Kogel  MAN  Wielton  Zaslaw  ТверьСтройМаш  Возможно приобретение техники в кредит лизинг   Мы являемся аккредитованной компанией в таких лизинговых  как Европлан  ВТБ Лизинг  Вэб лизинг  Элемент лизинг  Балтийский Лизинг,https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/
Truck,19.0,False,1611932.0,KAMAZ,,500000.0,1350000.0,2015.0,Продаю камаз 5490 низкая кабина  Комплектация под опасные грузы обслуживание у ОД резина перед 60  резина зад 80   отличное техническое состояние продажа в связи с обновлением парка,https://auto.ru/artic/used/sale/kamaz/5490/16502116-d93b06b4/
Truck,51.0,False,2043723.0,KAMAZ,,638000.0,1350000.0,2015.0,Продам  В хорошем состоянии,https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/
Truck,22.0,False,1975310.0,KAMAZ,Global Truck Sales Санкт-Петербург,707511.0,1610000.0,2015.0,Седельный тягач Камаз 5490 S5 2015 г в   Один собственник  эксплуатация с конца 2015 года   Регулярные ТО  с подтверждением сервисной истории   Хорошая комплектация  2 спальных места  2 топливных бака    Остаток резины по кругу более 40    Ходил исключительно под шторой  перевозил легкие грузы   Цена указана с НДС Техническое описание     Год изготовления  2015   Изготовитель  Россия   Объем двигателя  куб см  11 967   Разрешенная максимальная масса  кг  18 600   Масса без нагрузки  кг  7 900   Экологический класс  ЕВРО 5   Мощность двигателя  л с  401   Тип КПП  Механическая   Колесная формула  4х2   Тип подвески  Спереди рессорная  сзади  полурессорная   Пробег  км  707 511 Дополнительная информация    Магнитола   Кондиционер   Инструментальный ящик   Спойлер   Солнцезащитный козырек   Автономный отопитель   Тахограф   Люк   Электростеклоподъёмники   ABS   Межколесная блокировка   2 спальных места   2 топливных бака Глобал Трак Сейлс   официальный дилер Mercedes Benz  KRONE  Sсhmitz Cargobull  Fliegl  Kassbohrer  Kogel  MAN  Wielton  Zaslaw  ТверьСтройМаш  Возможно приобретение техники в кредит лизинг   Мы являемся аккредитованной компанией в таких лизинговых  как Европлан  ВТБ Лизинг  Вэб лизинг  Элемент лизинг  Балтийский Лизинг,https://auto.ru/artic/used/sale/kamaz/5490/16537080-4204959c/
