ProfSupplier;Gear;HP;Formula;VehicleType;URL;Price;Year;Mileage;Location;Supplier;Make;Model;CabSeats;CabBeds
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16325610-fa23ba36/;3795000;2017;157000;Мытищи;АвтоСэнди;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16039864-34ce5d33/;3545000;2016;440000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;2350000;2017;60000;Москва;Группа ГРАССМАНН и ЛОМТЕВ;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16275642-e8f9d451/;4300000;2018;290000;Смоленск;ГРИН ЛАЙН;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16396568-3338c2f1/;1750000;2017;10000;Екатеринбург;Global Truck Sales Екатеринбург;SCHMITZ CARGOBULL;SCS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sdp_27/15541866-1012fe6f/;1860000;2016;48188;Санкт-Петербург;АЛЬГА;KRONE;SDP 27;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sdp_27/15541846-e6af5882/;1840000;2015;86922;Санкт-Петербург;АЛЬГА;KRONE;SDP 27;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16304638-c05a00f8/;2041000;2017;100000;Чёрная Грязь;M7 TRUCK Москва;KRONE;SD;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16384204-0f5bc231/;2200000;2019;158000;Новосибирск;;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/kogel/sp_24/6707352-bcb8/;3590000;2017;300000;Подольск;САВВЭЛ;KOGEL;SP 24;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16387700-388bd970/;2130000;2018;165000;Дубровки;Триера Трак;KRONE;SD;;
False;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16380822-cca16ae5/;3870000;2017;209000;Москва;;SCHMITZ CARGOBULL;SCB;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16231992-1c19dfe5/;4370000;2016;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16016325-cf34df94/;3830000;2016;200000;Санкт-Петербург;Вираж;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16320502-44896d21/;1960000;2018;250000;Подольск;КомТоргТранс;KRONE;SD;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16363110-73469db4/;4315000;2017;;Екатеринбург;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16220684-1cc4c004/;3903000;2016;;Екатеринбург;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16336994-ee8fbfda/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16219372-1581b079/;1900000;2017;55000;Мокшино;Best-truck;SCHMITZ CARGOBULL;SCS;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16275240-ac4856f7/;1790000;2017;;Шушары;Группа Милан;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/krone/16291612-bb19337d/;1628000;2016;;Кимовск;Юнион КРОНЕ Кимовск;KRONE;Krone;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16280668-340995ac/;4315000;2017;;Москва;ClassTrucks;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/ako_18/16358508-384abc3e/;1550000;2015;400000;Новосибирск;Трак Центр Флагман;SCHMITZ CARGOBULL;AKO 18;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15878733-912b01ee/;3295000;2017;272000;Мытищи;АвтоСэнди;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/wielton/ns/16377084-6395ae42/;1490000;2015;450000;Дубровки;Триера Трак;WIELTON;NS;;
True;;;;Refrigerator;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16310160-a4508a41/;3960000;2017;;Румянцево;СГМ - ГРУПП;SCHMITZ CARGOBULL;SKO;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16193052-28de59f2/;1900000;2017;55000;Мокшино;Best-truck;SCHMITZ CARGOBULL;S01;;
False;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16334444-6cdb1fd8/;2000000;2018;30000;Подольск;;KRONE;SD;;
True;;;;Curtainsider;https://auto.ru/trailer/used/sale/krone/sd/16305682-09e600d9/;1950000;2017;270568;Москва;АГТ-Трейдинг;KRONE;SD;;
