Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Качество верификации;Верификация;Федеральный округ
Рефрижератор;Schmitz Cargobull;SKO;2015;3299777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16482654-44dbfbb0/;500000;;;;;;ТТ777;3290000;-9777;;10;106000;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3349777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16400818-d89276e8/;500000;;;;;;ТТ777;3290000;-59777;;10;107000;;;ЦФО
Рефрижератор;Krone;SD;2017;3950000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;;;;;;;Юнион КРОНЕ Кимовск;4110000;160000;;10;126000;;;ЦФО
Рефрижератор;Krone;SD;2017;3120000;Михнево;https://auto.ru/trailer/used/sale/krone/sd/16482736-d7bd9089/;550000;;;;;;AVTOKOMMERZ-TRUCKS;3880000;760000;Горячая цена! Срочно брать!;0;100000;0,32895;ok;
Шторный;Krone;SD;2017;2041000;Чёрная Грязь;https://auto.ru/trailer/used/sale/krone/sd/16304638-c05a00f8/;100000;;;;;;M7 TRUCK Москва;1930000;-111000;Цена завышена - можно поторговаться;20;65000;;;ЦФО
Шторный;Krone;SD;2019;2120000;Новосибирск;https://auto.ru/trailer/used/sale/krone/sd/16384204-0f5bc231/;158000;;;;;;Альфа-Лизинг Россия;2020000;-100000;;10;68000;;;СФО
Рефрижератор;Schmitz Cargobull;SKO;2017;3850000;Волоколамск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16509914-27f009c5/;50000;;;;;;;4100000;250000;Горячая цена! Срочно брать!;0;123000;;;
Рефрижератор;Schmitz Cargobull;SKO;2017;4360000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16543874-81f7d0a2/;;;;;;;ClassTrucks;4250000;-110000;;10;140000;;;ЦФО
Шторный;Krone;SD;2017;1795000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16440174-9f47d6e2/;;;;;;;Юнион КРОНЕ Кимовск;1910000;115000;Горячая цена! Срочно брать!;0;57000;;;ЦФО
Шторный;Schmitz Cargobull;SCB;2016;1750000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16491104-9501ef61/;380000;;;;;;Триера Трак;1780000;30000;;10;56000;;;ЦФО
