Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ
Шторный;Krone;SDP 27;2011;1060000;Москва;https://auto.ru/trailer/used/sale/krone/sdp_27/16559040-2840f887/;350000;;;;;;;1090000;30000;;10;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3299777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16482654-44dbfbb0/;500000;;;;;;ТТ777;3290000;-9777;;10;106000;;;;ЦФО
Рефрижератор;Krone;SDR 27;2004;1050000;Томск;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;;;;;;;;1290000;240000;Горячая цена! Срочно брать!;0;;;;;
Шторный;Wielton;NS;2014;1300000;Иваново;https://auto.ru/trailer/used/sale/wielton/ns/16247612-0ef501e7/;500000;;;;;;;1430000;130000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2015;3349777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16400818-d89276e8/;500000;;;;;;ТТ777;3290000;-59777;;10;107000;;;;ЦФО
Шторный;Schmitz Cargobull;S01;2006;550000;Череповец;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16483818-ebdf305d/;;;;;;;;700000;150000;Горячая цена! Срочно брать!;0;;;;;СЗФО
Рефрижератор;Krone;SD;2017;3950000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;;;;;;;Юнион КРОНЕ Кимовск;4110000;160000;;10;126000;;;;ЦФО
Шторный;Krone;SDP 27;2016;1860000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/15541866-1012fe6f/;48188;;;;;;АЛЬГА;1800000;-60000;;10;60000;;;;СЗФО
Шторный;Krone;SD;2008;780000;Зеленоград;https://auto.ru/trailer/used/sale/krone/sd/16276444-66550df3/;10000;;;;;;Global Truck Sales Москва Север;740000;-40000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Бортовой;Schmitz Cargobull;SPR;2008;749000;Брянск;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16427344-fb21677d/;1100000;;;;;;;720000;-29000;;10;;;;;ЦФО
Шторный;Krone;SD;2008;820000;Алексин;https://auto.ru/trailer/used/sale/krone/sd/16545920-bba09be9/;100000;;;;;;Автосалон на площади Победы;740000;-80000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Шторный;Schmitz Cargobull;S01;2008;849000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16570948-8f1976ec/;;;;;;;GROSS AUTO;740000;-109000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2006;1850000;Шадринск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577070-0ae3f9cd/;500000;;;;;;;1750000;-100000;Цена завышена - можно поторговаться;20;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2014;3250000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16284558-4f67a2bc/;483834;;;;;;АГТ-Трейдинг;3270000;20000;;10;;;;;ЦФО
Шторный;Krone;SDP 27;2015;1840000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/15541846-e6af5882/;86922;;;;;;АЛЬГА;1550000;-290000;Цена завышена - можно поторговаться;30;59000;;;;СЗФО
Шторный;Krone;SD;2016;1930000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16585344-aae9c816/;50000;;;;;;;1800000;-130000;Цена завышена - можно поторговаться;20;62000;;;;ЦФО
Шторный;Krone;SDP 27;2002;500000;Новочеркасск;https://auto.ru/trailer/used/sale/krone/sdp_27/16347898-f2473d85/;1000;;;;;;;550000;50000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Рефрижератор;Schmitz Cargobull;SKO;2006;1750000;Пушкино;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16567584-bac0d897/;500000;;;;;;"ООО ""РТС""";1750000;0;;10;;;;;
Шторный;Krone;SD;2007;720000;Ключевск;https://auto.ru/trailer/used/sale/krone/sd/16537606-825446dd/;;;;;;;;720000;0;;10;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2010;2300000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456238-f14198c4/;;;;;;;Юнион КРОНЕ Кимовск;2070000;-230000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Бортовой;Schmitz Cargobull;SPR;2012;950000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16582694-3becb119/;550000;;;;;;;980000;30000;;10;;;;;ЦФО
Шторный;Krone;SD;2019;2120000;Новосибирск;https://auto.ru/trailer/used/sale/krone/sd/16384204-0f5bc231/;158000;;;;;;Альфа-Лизинг Россия;2020000;-100000;;10;68000;;;;СФО
Шторный;Krone;SD;2013;1150000;Люберцы;https://auto.ru/trailer/used/sale/krone/sd/16591320-19630473/;;;;;;;PRO АВТО;1170000;20000;;10;;;;;ЦФО
Шторный;Krone;SD;2010;950000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16591328-fd11fe06/;777;;;;;;;940000;-10000;;10;;;;;ЦФО
Бортовой;Schmitz Cargobull;S01;2007;790000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16452278-cc963d51/;740245;;;;;;АГТ-Трейдинг;710000;-80000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Бортовой;Schmitz Cargobull;SPR;2014;799777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16419012-1ca5117c/;500000;;;;;;ТТ777;880000;80223;Горячая цена! Срочно брать!;0;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2008;1790000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16463422-0a11fb0c/;;;;;;;Юнион КРОНЕ Кимовск;1800000;10000;;10;;;;;ЦФО
Шторный;Kögel;SN24;2013;1370000;Челябинск;https://auto.ru/trailer/used/sale/kogel/sn24/16466976-7ae5b1a2/;;;;;;;;1140000;-230000;Цена завышена - можно поторговаться;30;;;;;УФО
Рефрижератор;Krone;SDR 27;2004;1050000;Москва;https://auto.ru/trailer/used/sale/krone/sdr_27/16502256-d2e74d25/;;;;;;;;1290000;240000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Рефрижератор;Krone;SD;2008;2300000;Екатеринбург;https://auto.ru/trailer/used/sale/krone/sd/15983512-26fc8ce9/;;;;;;;;1640000;-660000;Цена завышена - можно поторговаться;50;;;;;УФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4470000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16543874-81f7d0a2/;;;;;;;ClassTrucks;4250000;-220000;Цена завышена - можно поторговаться;20;143000;;;;ЦФО
Бортовой;Schmitz Cargobull;SPR;2008;780000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16557908-a6679f52/;;;;;;;GROSS AUTO;730000;-50000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Шторный;Krone;SD;2017;1795000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16440174-9f47d6e2/;;;;;;;Юнион КРОНЕ Кимовск;1910000;115000;Горячая цена! Срочно брать!;0;57000;;;;ЦФО
Рефрижератор;Kögel;SVKT24;2002;790000;Евпатория;https://auto.ru/trailer/used/sale/kogel/svkt24/10644625-8ed3ce07/;550000;;;;;;;870000;80000;Горячая цена! Срочно брать!;0;;;;;
Рефрижератор;Kögel;S24;2014;3700000;Самара;https://auto.ru/trailer/used/sale/kogel/s24/16353522-b7c2158d/;50000;;;;;;;3330000;-370000;Цена завышена - можно поторговаться;20;;;;;ПФО
Шторный;Schmitz Cargobull;SCB;2016;1750000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16491104-9501ef61/;380000;;;;;;Триера Трак;1780000;30000;;10;56000;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2017;4470000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16550390-3aa09b1d/;;;;;;;ClassTrucks;4250000;-220000;Цена завышена - можно поторговаться;20;143000;;;;УФО
Рефрижератор;Schmitz Cargobull;SKO;2002;1050000;Каспийск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16434442-294aa8f9/;;;;;;;;930000;-120000;Цена завышена - можно поторговаться;20;;;;;
Шторный;Schmitz Cargobull;S01;2007;790000;Зеленоград;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16517774-3c2a5883/;;;;;;;Global Truck Sales Москва Север;720000;-70000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2008;1790000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16512540-f872d2b4/;20;;;;;;Юнион КРОНЕ Кимовск;1580000;-210000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Шторный;Schmitz Cargobull;SCS;2017;1950000;Зеленоград;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16527434-7bdbb3de/;;;;;;;Global Truck Sales Москва Север;1900000;-50000;;10;62000;;;;ЦФО
Бортовой;Kögel;SN24;2009;850000;Дорогобуж;https://auto.ru/trailer/used/sale/kogel/sn24/16331576-888f8bff/;100;;;;;;;840000;-10000;;10;;;;;
Шторный;Schmitz Cargobull;S01;2008;845000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16499732-09b776f0/;10000;;;;;;Global Truck Sales Екатеринбург;750000;-95000;Цена завышена - можно поторговаться;20;;;;;УФО
Бортовой;Kögel;SN24;2008;650000;Смоленск;https://auto.ru/trailer/used/sale/kogel/sn24/16590198-f5dde382/;;;;;;;;730000;80000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Шторный;Krone;SDP 27;2007;650000;Москва;https://auto.ru/trailer/used/sale/krone/sdp_27/16474852-7fa6e56f/;;;;;;;Трак-Сток;720000;70000;Горячая цена! Срочно брать!;0;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2018;4650000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577320-d716ef2a/;;;;;;;ClassTrucks;4360000;-290000;Цена завышена - можно поторговаться;20;149000;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2010;2100000;Ростов-на-Дону;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16559270-9a27dd55/;659000;;;;;;;2120000;20000;;10;;;;;ЮФО
Шторный;Krone;SD;2008;900000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16542806-b2b70b14/;680000;;;;;;Триера Трак;730000;-170000;Цена завышена - можно поторговаться;30;;;;;ЦФО
Шторный;Krone;SDP 27;2007;780000;Москва;https://auto.ru/trailer/used/sale/krone/sdp_27/16557672-2665602f/;;;;;;;GROSS AUTO;720000;-60000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2004;1530000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16429814-570f1779/;650000;;;;;;АГТ-Трейдинг;1520000;-10000;;10;;;;;ЦФО
Бортовой;Schmitz Cargobull;S01;2010;990000;Елино;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16589958-9a283e37/;500000;;;;;;700 МАШИН;880000;-110000;Цена завышена - можно поторговаться;20;;;;;ЦФО
Рефрижератор;Krone;SD;2008;1699999;Хабаровск;https://auto.ru/trailer/used/sale/krone/sd/16318138-986679e9/;;;;;;;;1640000;-59999;;10;;;;;
Рефрижератор;Schmitz Cargobull;S01;2015;3550000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16578914-88b7c4c7/;350000;;;;;;Транзит-Дон Москва;3290000;-260000;Цена завышена - можно поторговаться;20;114000;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2006;1600000;Ейск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16517046-ae2589b5/;;;;;;;;1760000;160000;Горячая цена! Срочно брать!;0;;;;;
Шторный;Krone;SD;2009;1090000;Люберцы;https://auto.ru/trailer/used/sale/krone/sd/16590070-0208b191/;299000;;;;;;ТРАК ПЛАТФОРМА;830000;-260000;Цена завышена - можно поторговаться;40;;;;;ЦФО
Рефрижератор;Schmitz Cargobull;SKO;2011;2550000;Санкт-Петербург;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16567408-d082ea7f/;990000;;;;;;Монополия;2090000;-460000;Цена завышена - можно поторговаться;30;;;;;СЗФО
Шторный;Schmitz Cargobull;S01;2007;680000;Ростов-на-Дону;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16487446-fbda2662/;780000;;;;;;Транзит-Дон Гипермаркет;720000;40000;Горячая цена! Срочно брать!;0;;;;;ЮФО
Шторный;Schmitz Cargobull;S01;2005;650000;Нижний Новгород;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16582282-fd7420fa/;1081267;;;;;;ООО ИТЕКО Россия;650000;0;;10;;;;;ПФО
Рефрижератор;Schmitz Cargobull;SKO;2001;1200000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16544351-73f22476/;;;;;;;;930000;-270000;Цена завышена - можно поторговаться;40;;;;;УФО
Бортовой;Kögel;SN24;2012;1200000;Новосибирск;https://auto.ru/trailer/used/sale/kogel/sn24/16088414-81979c12/;500000;;;;;;СибТракСкан;960000;-240000;Цена завышена - можно поторговаться;40;;;;;СФО
