Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Comment;Качество верификации;Верификация;Федеральный округ;Цена с НДС
Шторный;Kögel;SN24;2012;1200000;Москва;https://auto.ru/trailer/used/sale/kogel/sn24/16601912-b4ba5a99/;;;;;;;Global Truck Sales Москва Север;1060000;-140000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Шторный;Schmitz Cargobull;S01;2004;520000;Екатеринбург;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16610874-b0cf937a/;300000;;;;;;;530000;10000;;10;;;;;УФО;
Рефрижератор;Schmitz Cargobull;SKO;2015;3399777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16482654-44dbfbb0/;500000;;;;;;ТТ777;3290000;-109777;;10;109000;;;;ЦФО;
Шторный;Krone;SD;2011;790000;Нижний Новгород;https://auto.ru/trailer/used/sale/krone/sd/16597426-ef06538f/;1000000;;;;;;;1010000;220000;Горячая цена! Срочно брать!;0;;;;;ПФО;
Шторный;Schmitz Cargobull;S01;2006;720000;Ижевск;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16610934-2dd5ace8/;;;;;;;;700000;-20000;;10;;;;;ПФО;
Рефрижератор;Krone;SDR 27;2004;1050000;Томск;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;;;;;;;;1290000;240000;Горячая цена! Срочно брать!;0;;;;;;
Шторный;Wielton;NS;2014;1300000;Иваново;https://auto.ru/trailer/used/sale/wielton/ns/16247612-0ef501e7/;500000;;;;;;;1430000;130000;Горячая цена! Срочно брать!;0;;;;;ЦФО;
Рефрижератор;Schmitz Cargobull;SKO;2015;3349777;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16400818-d89276e8/;500000;;;;;;ТТ777;3290000;-59777;;10;107000;;;;ЦФО;
Рефрижератор;Krone;SD;2017;4320000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;;;;;;;Юнион КРОНЕ Кимовск;4110000;-210000;Цена завышена - можно поторговаться;20;138000;;;;ЦФО;
Шторный;Krone;SDC 27;2012;1230000;Донецк;https://auto.ru/trailer/used/sale/krone/sdc_27/16602678-f7f5dc07/;;;;;;;;1090000;-140000;Цена завышена - можно поторговаться;20;;;;;;
Шторный;Krone;SD;2008;780000;Зеленоград;https://auto.ru/trailer/used/sale/krone/sd/16276444-66550df3/;10000;;;;;;Global Truck Sales Москва Север;740000;-40000;Цена завышена - можно поторговаться;20;;;;;ЦФО;
Бортовой;Schmitz Cargobull;SPR;2008;749000;Брянск;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16427344-fb21677d/;1100000;;;;;;;720000;-29000;;10;;;;;ЦФО;
Шторный;Krone;SD;2008;820000;Алексин;https://auto.ru/trailer/used/sale/krone/sd/16545920-bba09be9/;100000;;;;;;Автосалон на площади Победы;740000;-80000;Цена завышена - можно поторговаться;20;;;;ok;ЦФО;Цена с НДС
Шторный;Schmitz Cargobull;S01;2008;849000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16570948-8f1976ec/;;;;;;;GROSS AUTO;740000;-109000;Цена завышена - можно поторговаться;20;;;;ok;ЦФО;Цена с НДС
Рефрижератор;Schmitz Cargobull;SKO;2006;1850000;Шадринск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577070-0ae3f9cd/;500000;;;;;;;1750000;-100000;Цена завышена - можно поторговаться;20;;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4700000;Владивосток;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16606492-12f1807a/;200000;;;;;;;4170000;-530000;Цена завышена - можно поторговаться;20;150000;;;;ДВФО;
