Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Рефрижератор;Schmitz Cargobull;SKO;2014;3400000;Горки;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16664646-edfc505b/;;;;;;;;3240000;-160000;;10;;;;;;
Шторный;Krone;SD;2017;2200000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;160000;;;;;;Группа ГРАССМАНН и ЛОМТЕВ;1920000;-280000;Цена завышена - можно поторговаться;20;70000;ЦФО;Цена с НДС;;;ok
Бортовой;Schmitz Cargobull;SKO;2007;690000;Орёл;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16715501-a9b5e7cb/;500000;;;;;;;710000;20000;;10;;ЦФО;;;;
Шторный;Krone;SD;2007;900000;Нижний Новгород;https://auto.ru/trailer/used/sale/krone/sd/16704376-49a866e7/;;;;;;;;720000;-180000;Цена завышена - можно поторговаться;40;;ПФО;;;;
Бортовой;Wielton;NS;2013;800000;Выборг;https://auto.ru/trailer/used/sale/wielton/ns/16695908-cb74e3f5/;;;;;;;;980000;180000;Горячая цена! Срочно брать!;0;;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2008;1798000;Чёрная Грязь;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16681172-ba947539/;200000;;;;;;M7 TRUCK Москва;1810000;12000;;10;;ЦФО;;;;
Шторный;Krone;SD;2013;1450000;Дубровки;https://auto.ru/trailer/used/sale/krone/sd/16682046-8f722ec9/;560000;;;;;;Триера Трак;1170000;-280000;Цена завышена - можно поторговаться;30;;ЦФО;Цена с НДС;;;ok
Бортовой;Krone;SDP 27;2006;430000;Санкт-Петербург;https://auto.ru/trailer/used/sale/krone/sdp_27/16680504-cb9aaa76/;200000;;;;;;M7 TRUCK Санкт-Петербург;700000;270000;Горячая цена! Срочно брать!;0;;СЗФО;;;;
Рефрижератор;Krone;SDR 27;2004;1050000;Томск;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;;;;;;;;1290000;240000;Горячая цена! Срочно брать!;0;;;;;;
Шторный;Krone;Profi Liner;2006;500000;Вологда;https://auto.ru/trailer/used/sale/krone/profi_liner/16707906-f32d4012/;1000000;;;;;;;690000;190000;Горячая цена! Срочно брать!;0;;СЗФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2018;4485000;Новониколаевский;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717596-d7c300ca/;350000;;;;;;M7 TRUCK Казань;4210000;-275000;Цена завышена - можно поторговаться;20;144000;ПФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2011;2950000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717794-e6b8076f/;565121;;;;;;АГТ-Трейдинг;2010000;-940000;Цена завышена - можно поторговаться;60;;ЦФО;;;;
Шторный;Kögel;S24;2018;2340000;Людиново;https://auto.ru/trailer/used/sale/kogel/s24/16678326-fb950612/;240000;;;;;;;1930000;-410000;Цена завышена - можно поторговаться;30;75000;ЦФО;;;;
Шторный;Schmitz Cargobull;S01;2008;570000;Люберцы;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16679328-d2916d23/;;;;;;;PRO АВТО;740000;170000;Горячая цена! Срочно брать!;0;;ЦФО;;;;
Шторный;Krone;Profi Liner;2017;2178000;Авдон;https://auto.ru/trailer/used/sale/krone/profi_liner/16686628-3586d35e/;400000;;;;;;M7 TRUCK Уфа;1900000;-278000;Цена завышена - можно поторговаться;20;70000;ПФО;;;;
Шторный;Schmitz Cargobull;S01;2008;949000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16570948-8f1976ec/;;;;;;;GROSS AUTO;740000;-209000;Цена завышена - можно поторговаться;40;;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2015;3700000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16706908-60195712/;450000;;;;;;Транзит-Дон Москва;3290000;-410000;Цена завышена - можно поторговаться;20;118000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2015;3450000;Невинномысск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16670128-47400ab0/;7000;;;;;;;3240000;-210000;Цена завышена - можно поторговаться;20;110000;;;;;
Рефрижератор;Schmitz Cargobull;SKO;2010;2300000;Кимовск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456238-f14198c4/;;;;;;;Юнион КРОНЕ Кимовск;2070000;-230000;Цена завышена - можно поторговаться;20;;ЦФО;;;;
Бортовой;Wielton;NS;2009;950000;Москва;https://auto.ru/trailer/used/sale/wielton/ns/16694360-1a0f40ac/;;;;;;;Реалист Банк;820000;-130000;Цена завышена - можно поторговаться;30;;ЦФО;;;;
Бортовой;Schmitz Cargobull;SPR;2007;850000;Курск;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16594408-84ad59c8/;100;;;;;;;720000;-130000;Цена завышена - можно поторговаться;30;;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2008;1900000;Брянск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16555916-fe3827fa/;;;;;;;;1800000;-100000;Цена завышена - можно поторговаться;20;;ЦФО;;;;
Бортовой;Schmitz Cargobull;S01;2007;790000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16452278-cc963d51/;740245;;;;;;АГТ-Трейдинг;710000;-80000;Цена завышена - можно поторговаться;20;;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2014;3750000;Москва и Московская область;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16714627-6fafc502/;180000;;;;;;;3270000;-480000;Цена завышена - можно поторговаться;20;;ЦФО;;;;
