price,vat_included,year,mileage,location,url,make,name,supplier,VehicleType
3500000,,2014,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16636890-66584e02/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ГРУЗ СОЮЗ,ST_REFRIGERATOR
1730000,,2015,600000,Набережные Челны,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16680698-66d6a462/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Набережные Челны,ST_CURTAIN
4490000,,2017,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16655776-fb314395/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
630000,,2008,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16535582-abaa5526/,SCHMITZ_CARGOBULL,Schmitz Cargobull SPR,ГРУЗ СОЮЗ,ST_CURTAIN_ONBOARD
1250000,Цена с НДС,2012,,Москва,https://auto.ru/trailer/used/sale/krone/sd/16672268-b259b821/,KRONE,Krone SD,ГРУЗ СОЮЗ,ST_CURTAIN_ONBOARD
1770000,,2016,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16655190-71777b0f/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,ГРУЗ СОЮЗ,ST_CURTAIN_ONBOARD
990000,,2011,,Москва,https://auto.ru/trailer/used/sale/krone/sd/16539828-4b8662dd/,KRONE,Krone SD,ГРУЗ СОЮЗ,ST_CURTAIN
1290000,,2012,10000,Тверь,https://auto.ru/trailer/used/sale/krone/sd/16682542-9373fcbe/,KRONE,Krone SD,,ST_CURTAIN
4030000,,2018,100000,Подольск,https://auto.ru/trailer/used/sale/kogel/s24/16460794-b6725f1a/,KOGEL,Kogel S24,КомТоргТранс,ST_REFRIGERATOR
4060000,,2018,90000,Подольск,https://auto.ru/trailer/used/sale/kogel/s24/16463836-c7924692/,KOGEL,Kogel S24,КомТоргТранс,ST_REFRIGERATOR
660000,,2006,1000000,Новониколаевский,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16554126-272870a1/,SCHMITZ_CARGOBULL,Schmitz Cargobull S01,M7 TRUCK Казань,ST_CURTAIN_ONBOARD
825000,,2012,,Новониколаевский,https://auto.ru/trailer/used/sale/fliegl/polupricep/16471658-02830b54/,FLIEGL,Fliegl Полуприцепы тентованные,M7 TRUCK Казань,ST_CURTAIN
1349777,Цена с НДС,2015,670000,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16647906-8093f93e/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCS,ТТ777,ST_CURTAIN
1650000,Цена с НДС,2015,,Домодедово,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16583792-557e3c57/,MEUSBURGER,Meusburger Тентованный полуприцеп,СТТ-АВТО,ST_CURTAIN
1450000,Цена с НДС,2013,560000,Дубровки,https://auto.ru/trailer/used/sale/krone/sd/16682046-8f722ec9/,KRONE,Krone SD,Триера Трак,ST_CURTAIN
1530000,,2008,680000,Дубровки,https://auto.ru/trailer/used/sale/krone/cool_liner/16656426-e8249741/,KRONE,Krone Cool Liner,Триера Трак,ST_REFRIGERATOR
1604000,,2015,200000,Чёрная Грязь,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16560518-5e24c2da/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Москва,ST_CURTAIN
1560000,Цена с НДС,2006,,Москва,https://auto.ru/trailer/used/sale/lamberet/sr2/16682516-0a704d45/,LAMBERET,Lamberet SR2,ГРУЗ СОЮЗ,ST_REFRIGERATOR
2690000,Цена с НДС,2013,,Екатеринбург,https://auto.ru/trailer/used/sale/krone/sd/16682164-7c784b77/,KRONE,Krone SD,Global Truck Sales Екатеринбург,ST_REFRIGERATOR
780000,,2008,,Подольск,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16682100-affda271/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCS,КомТоргТранс,ST_CURTAIN
480000,,2001,,Подольск,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16681924-a8ac0d88/,SCHMITZ_CARGOBULL,Schmitz Cargobull SCS,КомТоргТранс,ST_CURTAIN
1730000,,2015,600000,Новониколаевский,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16662704-032016eb/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Казань,ST_CURTAIN
1730000,,2015,600000,Новониколаевский,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16669711-43dc7130/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Казань,ST_CURTAIN
1730000,,2015,600000,Новониколаевский,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16658454-469b1d1e/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Казань,ST_CURTAIN
1330000,Цена с НДС,2011,645000,Дубровки,https://auto.ru/trailer/used/sale/krone/sd/16679136-2b0b152f/,KRONE,Krone SD,Триера Трак,ST_CURTAIN
4490000,,2017,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16658290-893fcf65/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4940000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639056-b3403acd/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4590000,,2017,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639994-dbe85166/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4440000,,2017,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16666996-9ab52112/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4710000,,2017,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16667008-651ca2df/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
5030000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577320-d716ef2a/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4450000,,2017,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16648836-b1ae5053/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4980000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16627724-4e17b5e8/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4830000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16666940-9c3e3492/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4450000,,2017,,Тосно,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16630734-431a1c99/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4960000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639992-5f3581ef/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4620000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653816-66059cfb/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
5010000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16569782-7256a787/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4620000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653816-66059cfb/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4820000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16653818-4cb2768c/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4490000,,2017,,Екатеринбург,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16655776-fb314395/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4960000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639992-5f3581ef/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4990000,,2018,,Москва,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612100-d0dd848d/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
4510000,,2017,,Тосно,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16575410-f1bd8515/,SCHMITZ_CARGOBULL,Schmitz Cargobull SKO,ClassTrucks,ST_REFRIGERATOR
1730000,,2015,600000,Авдон,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16678894-cdcb6d55/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Уфа,ST_CURTAIN
1730000,,2015,600000,Набережные Челны,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16680698-66d6a462/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Набережные Челны,ST_CURTAIN
2257000,,2017,400000,Авдон,https://auto.ru/trailer/used/sale/krone/profi_liner/16669709-b32456ff/,KRONE,Krone Profi Liner,M7 TRUCK Уфа,ST_CURTAIN
2257000,,2017,50000,Чёрная Грязь,https://auto.ru/trailer/used/sale/krone/sd/16671216-f2f21e7c/,KRONE,Krone SD,M7 TRUCK Москва,ST_CURTAIN
1730000,,2015,200000,Санкт-Петербург,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16668864-0e185cc7/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Санкт-Петербург,ST_CURTAIN
1730000,,2015,600000,Набережные Челны,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16678948-313d0973/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Набережные Челны,ST_CURTAIN
1593000,,2015,600000,Москва,https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16649956-fea92ed6/,MEUSBURGER,Meusburger Тентованный полуприцеп,M7 TRUCK Москва Юг,ST_CURTAIN
2370000,,2018,300000,Набережные Челны,https://auto.ru/trailer/used/sale/krone/profi_liner/16663296-fb531cc2/,KRONE,Krone Profi Liner,M7 TRUCK Набережные Челны,ST_CURTAIN
