price,vat_included,year,mileage,location,url,make,name,supplier,gear,hp,formula,cab
2650000,,2003,863000,Серпухов,https://auto.ru/artic/used/sale/man/tga_1/16577082-8b139dc5/,MAN,MAN TGA,,полуавтоматическая,420,6x2,2-х местная с 2 спальными
1200000,,2002,1260,Калининград,https://auto.ru/artic/used/sale/mercedes/axor_t/16634476-2eb7d4e0/,MERCEDES,Mercedes-Benz Axor,,механическая,430,4x2,2-х местная с 2 спальными
599000,,2001,358213,Люберцы,https://auto.ru/artic/used/sale/man/14_1/16568210-aaa4191a/,MAN,MAN 14,PRO АВТО,механическая,410,4x2,2-х местная с 2 спальными
830000,,2002,950116,Москва,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16639002-afea6b5c/,IVECO,IVECO Stralis,ГРУЗ СОЮЗ,механическая,480,4x2,2-х местная с 2 спальными
999999,,2001,900000,Великие Луки,https://auto.ru/artic/used/sale/iveco/eurotech/16638990-b5b11dbe/,IVECO,IVECO EuroTech,,механическая,400,4x2,2-х местная с 2 спальными
1690000,,2008,1360000,Тольятти,https://auto.ru/artic/used/sale/man/tga_1/16638926-c2d3d5c1/,MAN,MAN TGA,МЕТАТРАНС,механическая,480,4x2,2-х местная с 2 спальными
5960000,,2017,406459,Екатеринбург,https://auto.ru/artic/used/sale/volvo/fh_tractor/16630704-1f831595/,VOLVO,Volvo FH,ClassTrucks,автоматическая,500,4x2,
250000,,2003,270000,Пушкино,https://auto.ru/artic/used/sale/maz/5432/16626804-415d3704/,MAZ,МАЗ 5432,ДСТ-М,,390,4x2,
600000,,2003,403000,Пушкино,https://auto.ru/artic/used/sale/maz_man/54326/16507534-0c8adc75/,MAZ_MAN,МАЗ-МАН 54326,ДСТ-М,,400,4x2,
850000,,2002,1280000,Голицыно,https://auto.ru/artic/used/sale/mercedes/axor_t/16574470-dbc4df92/,MERCEDES,Mercedes-Benz Axor,,механическая,355,4x2,
1380000,,2004,10000,Омск,https://auto.ru/artic/used/sale/daf/xf95/16617764-95caec3b/,DAF,DAF 95XF,,механическая,428,4x2,2-х местная с 2 спальными
1700000,,2007,1550374,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16609270-c2bde597/,MAN,MAN TGA,PRO АВТО,механическая,400,4x2,2-х местная с 2 спальными
1390000,,2007,641601,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16600608-bddae18b/,MAN,MAN TGA,PRO АВТО,механическая,480,4x2,2-х местная с 2 спальными
1150000,,2005,1090410,Люберцы,https://auto.ru/artic/used/sale/man/tga_1/16639134-b81aa129/,MAN,MAN TGA,ТРАК ПЛАТФОРМА,механическая,430,4x2,2-х местная с 2 спальными
