url,comment
https://auto.ru/artic/used/sale/maz/6430/16553782-21e0aa99/,"ООО МАН Трак энд Бас РУС (официальный импортер МАN в РФ), реализует: Седельный тягач МАЗ-6430B9-1420-010 Год изготовления: 2017 Пробег: 285 124 км Комплектация: Кабина большая 6431, 2 спальных места Колёсная база 3200 мм + 1400мм Колёсная формула 6x4 Двигатель ЯМЗ - 65101, 410 л.с., Объем двигателя - 11122 м. куб., Евро-4 Коробка передач ZF 16 S 221 (16) Подвеска рессора/рессора Технически допустимая полная масса автопоезда, кг: 44000 Блокировки дифференциалов задних мостов Топливный бак 500 л справа Антиблокировочная система (ABS) Тахограф Цена включает в себя НДС 20%, возможна продажа в лизинг. Возможен выкуп вашего подержанного ТС в зачет стоимости покупки подержанного ТС у нас (Trade-In). Адрес осмотра: г. Москва, Рязановское с.п., Симферопольское шоссе, д. 22, стр. 9."
https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16483978-6dbb4987/,"Рефрижераторный 3-х осный полуприцеп Schmitz Cargobull SKO 24/L - 13.4 FP 60 COOL (86м3) Кузов FERROPLASТ для глубокой заморозки. MAXIMA 1300 2016 года выпуска;  наработка 3 000 Мото/Часов; палетный ящик; подъёмная ось;  тормоза дисковые;  оси Schmitz. Прицеп и ходовая в идеальном состоянии. Колёса новые, остаток протектора 100%. Эксплуатировался без перегруза.  Своевременное техническое обслуживание. Готов к эксплуатации, вложений не требует. Посреднические услуги не предлагать."
https://auto.ru/artic/used/sale/scania/r_1/16409800-ffecba31/,"В связи с обновлением парка, продается Scania R440, Низкорамник. 2015 г.в,  440л.с., евро 5, топливная PDE, сборка Нидерланды, КПП «Opticruise», 2-бака 500+700л., кабина высокая, 2 спальных места, автономный отопитель, холодильник, люк, климат-контроль, цифровой тахограф. Состояние отличное!  Один собственник, работали на Европу. Посредникам и прочим помощникам не беспокоить !"
https://auto.ru/artic/used/sale/kamaz/6460/16553866-b309488d/,"ОТС , кабина макси,тахограф, рация, музыка, фен сухой мокрый электро стеклоподъемники новая резина! глонасс, аппаратура ЯЗДА с момента покупки один водитель по сегодняшний день"
https://auto.ru/artic/used/sale/maz/5440/16629926-9ee30601/,Своевременное техническое обслуживание.  Не требует дополнительных вложений. Готов к эксплуатации.
https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/,"Шторный полуприцеп Schmitz SCS DoubleDeck 2015г. Цена с НДС, возможна покупка в КРЕДИТ или ЛИЗИНГ! Стандарт TIR, работал по Европе, строго без перегрузов! Один владелец, гарантия юридической чистоты! Объем 105м3, регулируемая внутренняя высота (до 3.05м). Многоярусная погрузка (DoubleDeck), полный комплект доппель-штоков (DoppelStock). Комплектация: корзина под запасное колесо, запасное колесо, лестница, инструментальный ящик. Состояние отличное, все растентовки работают! Остаток резины 60-70%!"
https://auto.ru/artic/used/sale/scania/g/16553772-0571d8a1/,"В связи с окончанием лизинга продаётся  ам Scania G400LA6x2/4HNA ADR FL 2017 год один, собственник, машина с АДР подготовкой ( ДОПОГ ) ,средний подъемный поворотный мост, коробка ручная Обслуживалась по сервисному контракту Есть магнитола, рация, тахограф, автономка, холодильник Цена БЕЗ НДС"
https://auto.ru/artic/used/sale/volvo/fm_tractor/16565488-6df0e120/,Продам самосвал Volvo FM-TRUCK (6х6) в наличии в Красноярске. Собственник. Есть история обслуживания у официального дилера. Год 2014 Пробег реальный 205160 км Цена указана с НДС (возможна любая форма оплата) Гарантируем - юридическую чистоту сделки Помощь при транспортировке Лизинг | Кредит | Trade-in | Обмен Колесная формула - 6х6 Тип разгрузки - задняя Грузоподъемность - 27 т V платформы - 16 м3 Модель двигателя - D11 Мощность двигателя - 400 л.с.
https://auto.ru/artic/used/sale/scania/p_1/16179334-8155df07/,Scania P 400 4x2 ADR 2018 год.  На 16.10.2019 год пробег составляет 275 000 км. В отличном состоянии. Машина в работе. Обмен не предлагать. Цена указана по перечислению.
https://auto.ru/artic/used/sale/kamaz/5490/16579338-934c5859/,"Продается седельный тягач Камаз 5490 2017 г. Хороший остаток резины, на механике, 2 бака. Один собственник.  Цена указана с НДС.  Место осмотра: г. Казань Код: 2486096 Характеристики: Пробег, тыс.км.: 638 727 Год выпуска: 2017 Марка: КАМАЗ Модель: 5490-S5 Количество спальных мест: 1 Колесная формула: 4х2 Мощность двигателя, л.с.: 401 КПП тип: Механика Готов к эксплуатации. Торг возможен при осмотре."
