Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
auto.ru;29;KOGEL;https://auto.ru/trailer/used/sale/kogel/sn24/16631292-956beefd/;2015;;Curtainsider;1485445;1150000;600000;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/;2015;ТТ777;Curtainsider;1485445;1347777;610000;Цена с НДС
auto.ru;31;TONAR;https://auto.ru/trailer/used/sale/tonar/9746/16578346-be5d3168/;2018;;Platform;1113752;850000;100000;
auto.ru;17;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16483978-6dbb4987/;2016;;Refrigerator;3753416;3200000;;
auto.ru;166;KOLUMAN;https://auto.ru/trailer/used/sale/koluman/polupricep_shtorniy/16527122-7e7f2d33/;2018;;Curtainsider;1865823;699000;;
auto.ru;26;TONAR;https://auto.ru/trailer/used/sale/tonar/9746/16327520-3e3a89f4/;2017;;Refrigerator;3159234;2500000;;
auto.ru;17;KAMAZ;https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/;2017;ООО УралСпецКран;Truck;3339612;2850000;30000;
auto.ru;108;MAZ;https://auto.ru/artic/used/sale/maz/5440/16615874-e2d31ef5/;2017;;Truck;2312713;1110000;380000;
auto.ru;22;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16454360-9fb23f36/;2018;Скан-Юго-Восток;Truck;5626601;4600000;423500;
auto.ru;50;SCANIA;https://auto.ru/artic/used/sale/scania/g/16636982-238cbbb0/;2017;АвтоБан;Truck;7521218;5000000;680000;
auto.ru;13;MERCEDES;https://auto.ru/artic/used/sale/mercedes/actros_t/15901520-c4fb9b9b/;2015;;Truck;4148064;3650000;445000;
auto.ru;23;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16453500-942d4473/;2018;;Truck;2905921;2350000;76000;Цена с НДС
auto.ru;28;MAZ;https://auto.ru/artic/used/sale/maz/5440/16373928-7c7e6f5c/;2016;;Truck;2018200;1570000;530000;
auto.ru;16;VOLVO;https://auto.ru/artic/used/sale/volvo/fh_tractor/16631372-da792478/;2017;Ферронордик Машины;Truck;7193013;6200000;686000;Цена с НДС
auto.ru;42;KAMAZ;https://auto.ru/artic/used/sale/kamaz/6460/16553866-b309488d/;2017;;Truck;2949274;2070000;154000;
auto.ru;34;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65806/16243500-fba95167/;2016;Балтийский лизинг Санкт-Петербург;Truck;2620424;1950000;393947;
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16339302-dba218ac/;2016;Global Truck Sales Москва Север;Truck;1892905;1690000;507000;
auto.ru;52;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16636858-0d7814f6/;2017;Европлан Москва;Truck;2600127;1704000;212206;Цена с НДС
auto.ru;17;MAZ;https://auto.ru/artic/used/sale/maz/5440/16636788-005fcf32/;2016;;Truck;1701073;1450000;415000;
auto.ru;18;MAZ;https://auto.ru/artic/used/sale/maz/5440/16339038-910a17c1/;2016;;Truck;2015621;1700000;400000;
auto.ru;11;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16543520-45cf22ba/;2019;Европлан Краснодар;Truck;3468080;3099999;21000;
auto.ru;51;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16506482-51c89687/;2015;;Truck;2043723;1350000;638000;
auto.ru;10;SCANIA;https://auto.ru/artic/used/sale/scania/r_1/16602044-4270145c/;2017;Компания Автогород24;Truck;5298451;4780000;200000;Цена с НДС
auto.ru;76;MAZ;https://auto.ru/artic/used/sale/maz/6425/16265202-ab4c1ef1/;2016;;Truck;2749847;1554000;85000;
auto.ru;31;MAZ;https://auto.ru/artic/used/sale/maz/6425/16193546-45106604/;2016;;Truck;2753617;2100000;80000;
auto.ru;27;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16570798-fe0b13de/;2015;Global Truck Sales Екатеринбург;Truck;1975310;1550000;596371;Цена с НДС
auto.ru;18;MAZ;https://auto.ru/artic/used/sale/maz/6430/16440206-1279aa66/;2018;Альфа-Лизинг Россия;Truck;3087716;2610000;151182;
auto.ru;28;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16628814-8958b873/;2016;;Truck;1984732;1550000;197000;
auto.ru;27;SCANIA;https://auto.ru/artic/used/sale/scania/g/16553772-0571d8a1/;2017;;Truck;7675032;6000000;580000;
