Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
auto.ru;29;KOGEL;https://auto.ru/trailer/used/sale/kogel/sn24/16631292-956beefd/;2015;;Curtainsider;1485445;1150000;600000;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16607372-6de7712f/;2015;ТТ777;Curtainsider;1485445;1349777;650000;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/;2015;ТТ777;Curtainsider;1485445;1347777;610000;Цена с НДС
auto.ru;31;TONAR;https://auto.ru/trailer/used/sale/tonar/9746/16578346-be5d3168/;2018;;Platform;1113752;850000;100000;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16647906-8093f93e/;2015;ТТ777;Curtainsider;1485445;1349777;670000;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16553162-da914b14/;2015;VEGA;Curtainsider;1485445;1350000;700000;Цена с НДС
auto.ru;26;TONAR;https://auto.ru/trailer/used/sale/tonar/9746/16327520-3e3a89f4/;2017;;Refrigerator;3159234;2500000;;
auto.ru;10;SCHMITZ CARGOBULL;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16600328-2f85ed93/;2015;ТТ777;Curtainsider;1485445;1349777;600000;
auto.ru;17;KAMAZ;https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/;2017;ООО УралСпецКран;Truck;3339612;2850000;30000;
auto.ru;46;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16652034-8914a8a6/;2017;;Truck;8010984;5450000;700000;
auto.ru;22;SCANIA;https://auto.ru/artic/used/sale/scania/p_1/16454360-9fb23f36/;2018;Скан-Юго-Восток;Truck;5626601;4600000;423500;
auto.ru;50;SCANIA;https://auto.ru/artic/used/sale/scania/g/16636982-238cbbb0/;2017;АвтоБан;Truck;7521218;5000000;680000;
auto.ru;17;SCANIA;https://auto.ru/artic/used/sale/scania/g/16636408-0a03241f/;2018;;Truck;6057734;5150000;520000;
auto.ru;28;MAZ;https://auto.ru/artic/used/sale/maz/5440/16373928-7c7e6f5c/;2016;;Truck;2018200;1570000;530000;
auto.ru;42;KAMAZ;https://auto.ru/artic/used/sale/kamaz/6460/16553866-b309488d/;2017;;Truck;2949274;2070000;154000;
auto.ru;34;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65806/16243500-fba95167/;2016;Балтийский лизинг Санкт-Петербург;Truck;2620424;1950000;393947;
auto.ru;52;KAMAZ;https://auto.ru/artic/used/sale/kamaz/65116/16636858-0d7814f6/;2017;Европлан Москва;Truck;2600127;1704000;212206;Цена с НДС
auto.ru;12;KAMAZ;https://auto.ru/artic/used/sale/kamaz/5490/16643004-679a8634/;2016;Global Truck Sales Санкт-Петербург;Truck;1892905;1690000;759502;
auto.ru;17;MAZ;https://auto.ru/artic/used/sale/maz/5440/16636788-005fcf32/;2016;;Truck;1701073;1450000;415000;
