Comment,Site,Benefit,Make,URL,Year,Supplier,VehicleType,Price 1,Price,Mileage,VATIncluded,Result,confidence
,drom.ru,19,SCANIA,https://spec.drom.ru/barnaul/truck/truck-tractor/sedelnyj-tjagach-scania-p360-s-nds-v-barnaule-86572277.html,2015,,Truck,4238380,3550000,,,unclear,0.35893
,drom.ru,58,KAMAZ,https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-kamaz-5490-86847543.html,2017,,Truck,3162823,1990000,,,unclear,0.56209
,drom.ru,17,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-81377654.html,2015,,Truck,1870492,1590000,,,unclear,0.34823
,drom.ru,36,MAZ,https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/maz-6425h9-84149428.html,2017,,Truck,3137510,2300000,,,no_vat,0.49678
,drom.ru,44,IVECO,https://spec.drom.ru/volgograd/truck/truck-tractor/iveco-stralis-at440s48t-prr-86923000.html,2018,,Truck,6075490,4206000,,,unclear,0.3959
,drom.ru,19,KAMAZ,https://spec.drom.ru/volgograd/truck/truck-tractor/kamaz-5490-s5-86923385.html,2020,,Truck,4732394,3960000,,,unclear,0.40675
,drom.ru,13,KAMAZ,https://spec.drom.ru/kazan/truck/truck-tractor/tjagach-kamaz-5490-s5-sortimentovoz-2016-god-83944574.html,2016,,Truck,2279510,2000000,,,unclear,0.33385
,drom.ru,14,MAN,https://spec.drom.ru/krasnodar/truck/truck-tractor/foton-auman-est-a-1846-65221249.html,2018,РосТехноресурс,Truck,5788912,5049000,,,unclear,0.49079
,drom.ru,47,KAMAZ,https://spec.drom.ru/volgograd/truck/truck-tractor/kamaz-5490-s5-86925143.html,2018,,Truck,4206160,2843000,,,unclear,0.46059
,drom.ru,17,KAMAZ,https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85468754.html,2015,Global Truck Sales,Truck,1870492,1590000,,,unclear,0.34823
,drom.ru,23,KAMAZ,https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-86273135.html,2020,Байкал-АвтоТрак-Сервис,Truck,5176003,4200000,,,unclear,0.41636
,drom.ru,27,KAMAZ,https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-86504726.html,2020,Байкал-АвтоТрак-Сервис,Truck,5040171,3950000,,,unclear,0.37486
,drom.ru,38,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-tjagach-novyj-68844473.html,2020,АВАНТАЖ,Truck,5176003,3750000,,,unclear,0.33388
,drom.ru,50,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-belyj-sever-tjagach-67648439.html,2020,,Truck,5176003,3435000,,,unclear,0.37736
,drom.ru,50,KAMAZ,https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-evro-5-v-lizing-82828261.html,2020,,Truck,5040171,3360000,,,unclear,0.44443
,drom.ru,16,MAZ,https://spec.drom.ru/kodinsk/truck/truck-tractor/maz-85713686.html,2016,,Truck,2453298,2100000,,,unclear,0.33385
,drom.ru,31,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/tjagach-kamaz-65116-ressornyj-pod-perevozku-opasnyh-gruzov-dopog-76046490.html,2020,КАМАЗЦЕНТР,Truck,5040171,3839000,,,unclear,0.31636
,drom.ru,29,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-65116-7010-48-73878861.html,2020,,Truck,5040171,3900000,,,unclear,0.35065
,drom.ru,46,KAMAZ,https://spec.drom.ru/orenburg/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-65116-7010-48-79651954.html,2020,,Truck,5040171,3450000,,,unclear,0.37883
,drom.ru,12,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-5490-023-87-s5-sedelnyj-tjagach-neo-75099264.html,2020,,Truck,4732394,4205000,,,unclear,0.4257
,drom.ru,32,KAMAZ,https://spec.drom.ru/kemerovo/truck/truck-tractor/prodaetsja-tjagach-kamaz-5490-s5-2017-g-v-81054203.html,2017,"ООО ""ДокаДизель""",Truck,3162823,2390000,,,no_vat,0.50346
,drom.ru,35,KAMAZ,https://spec.drom.ru/penza/truck/truck-tractor/kamaz-53504-306030-50-tjagach-evro5-belyj-sever-72287289.html,2020,,Truck,5176003,3820000,,,unclear,0.32934
,drom.ru,29,KAMAZ,https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-tjagach-65116-6020-48-a5-76916330.html,2020,,Truck,5040171,3900000,,,unclear,0.35065
,drom.ru,36,KAMAZ,https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-81817-km-78987421.html,2018,,Truck,4206160,3090000,,,unclear,0.37357
,drom.ru,48,MAZ,https://spec.drom.ru/khabarovsk/truck/truck-tractor/maz-6430s9-2018-g-v-83232765.html,2018,,Truck,3467353,2328000,,,unclear,0.5181
,drom.ru,32,KAMAZ,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/tjagach-kamaz-65116-restajling-2-78330075.html,2020,,Truck,5040171,3790500,,,unclear,0.31636
