Site;Benefit;Make;link;Year;Supplier;VehicleType;Price 1;Price;Mileage;VATIncluded
drom.ru;40;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-tjagach-76818809.html;2020;;Truck;5040171;3600000;;
drom.ru;58;KAMAZ;https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-kamaz-5490-86847543.html;2017;;Truck;3162823;1990000;;
drom.ru;19;SCANIA;https://spec.drom.ru/barnaul/truck/truck-tractor/sedelnyj-tjagach-scania-p360-s-nds-v-barnaule-86572277.html;2015;;Truck;4238380;3550000;;
drom.ru;81;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/novyj-kamaz-43118-44108-53504-tjagach-vezdehod-voennyj-evro-2-78419597.html;2020;;Truck;5176003;2850000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-81377654.html;2015;;Truck;1870492;1590000;;
drom.ru;36;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/maz-6425h9-84149428.html;2017;;Truck;3137510;2300000;;
drom.ru;13;KAMAZ;https://spec.drom.ru/kazan/truck/truck-tractor/tjagach-kamaz-5490-s5-sortimentovoz-2016-god-83944574.html;2016;;Truck;2279510;2000000;;
drom.ru;18;MAZ;https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-maz-6430v9-1420-010-i-samosvalnyj-polupricep-kassbohrer-2014-g-62158007.html;2015;;Truck;1418836;1200000;;
drom.ru;14;MAN;https://spec.drom.ru/krasnodar/truck/truck-tractor/foton-auman-est-a-1846-65221249.html;2018;РосТехноресурс;Truck;5788912;5049000;;
drom.ru;73;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-evro-1-tjagach-novyj-78281453.html;2020;;Truck;5176003;2980000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85468754.html;2015;Global Truck Sales;Truck;1870492;1590000;;
drom.ru;23;KAMAZ;https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-86273135.html;2020;Байкал-АвтоТрак-Сервис;Truck;5176003;4200000;;
drom.ru;27;KAMAZ;https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-86504726.html;2020;Байкал-АвтоТрак-Сервис;Truck;5040171;3950000;;
drom.ru;50;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-evro-5-v-lizing-82828261.html;2020;;Truck;5040171;3360000;;
drom.ru;38;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-vezdehod-tjagach-novyj-68844473.html;2020;АВАНТАЖ;Truck;5176003;3750000;;
drom.ru;16;MAN;https://spec.drom.ru/lyubertsy/truck/truck-tractor/man-tgx-18.400-4x2-bls-god-vypuska-2018-cena-s-nds-86317466.html;2018;;Truck;5788912;4980000;;
drom.ru;20;VOLVO;https://spec.drom.ru/sochi/truck/truck-tractor/prodaju-volvo-vnl-670-74760683.html;2015;;Truck;4714859;3900000;;
drom.ru;16;MAZ;https://spec.drom.ru/kodinsk/truck/truck-tractor/maz-85713686.html;2016;;Truck;2453298;2100000;;
drom.ru;31;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/tjagach-kamaz-65116-ressornyj-pod-perevozku-opasnyh-gruzov-dopog-76046490.html;2020;КАМАЗЦЕНТР;Truck;5040171;3839000;;
drom.ru;29;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-kamaz-65116-7010-48-73878861.html;2020;;Truck;5040171;3900000;;
drom.ru;32;KAMAZ;https://spec.drom.ru/kemerovo/truck/truck-tractor/prodaetsja-tjagach-kamaz-5490-s5-2017-g-v-81054203.html;2017;"ООО ""ДокаДизель""";Truck;3162823;2390000;;
drom.ru;29;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/kamaz-tjagach-65116-6020-48-a5-76916330.html;2020;;Truck;5040171;3900000;;
drom.ru;48;MAZ;https://spec.drom.ru/khabarovsk/truck/truck-tractor/maz-6430s9-2018-g-v-83232765.html;2018;;Truck;3467353;2328000;;
drom.ru;36;KAMAZ;https://spec.drom.ru/vladimir/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-81817-km-78987421.html;2018;;Truck;4206160;3090000;;
drom.ru;32;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/tjagach-kamaz-65116-restajling-2-78330075.html;2020;;Truck;5040171;3790500;;
drom.ru;10;MAN;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodaetsja-gruzovik-man-84816952.html;2015;;Truck;4362121;3950000;;
drom.ru;49;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/sedelnyj-tjagach-kamaz-53504-58432680.html;2020;;Truck;5176003;3468000;;
drom.ru;24;KAMAZ;https://spec.drom.ru/blagoveshchensk/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-72098670.html;2020;ООО Авто Центр Самарагд;Truck;5040171;4063800;;
drom.ru;24;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-2017-g-v-86809749.html;2017;"ООО ""Глобал Трак Сейлс""";Truck;3162823;2550000;;
drom.ru;10;MAZ;https://spec.drom.ru/ufa/truck/truck-tractor/tjagach-4h2-maz-5440s5-8520-031-jamz-56101498.html;2020;ГК РусБизнесАвто;Truck;3598730;3250000;;
drom.ru;46;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-606030-50-severnyj-variant-75686999.html;2020;;Truck;5176003;3530000;;
drom.ru;15;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-68329901.html;2020;;Truck;5040171;4358000;;
drom.ru;50;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/tjagach-kamaz-65116-7010-48-48560741.html;2020;;Truck;5644342;3750000;;
drom.ru;57;KAMAZ;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-79315786.html;2016;;Truck;2279510;1450000;;
drom.ru;24;KAMAZ;https://spec.drom.ru/krasnodar/truck/truck-tractor/kamaz-65115-sedelnyj-tjagach-komplektacija-dopog-84563097.html;2020;"ООО ""ЮГБИЗНЕСАВТО""";Truck;5040171;4050000;;
drom.ru;42;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-tnvd-jazda-40845150.html;2020;АВАНТАЖ;Truck;5176003;3620000;;
drom.ru;40;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/gruzovoj-sedelnyj-tjagach-maz-probeg76813-85576905.html;2017;;Truck;2521811;1800000;;
drom.ru;55;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-44108-53504-50060540.html;2019;TECHSPECKAM, ООО;Truck;4978053;3200000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-85468761.html;2015;;Truck;1870492;1590000;;
drom.ru;31;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-s-probegom-85500990.html;2018;"ООО ""КСА""";Truck;4206160;3200000;;
drom.ru;76;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65225-71569464.html;2018;;Truck;4757150;2700000;;
drom.ru;10;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65206-t-5-86540148.html;2017;;Truck;3530465;3200000;;
drom.ru;75;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-tjagach-voennyj-novyj-bez-probega-73111053.html;2020;АВАНТАЖ;Truck;5176003;2950000;;
drom.ru;36;KAMAZ;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-86714346.html;2016;Global Truck Sales;Truck;2279510;1670000;;
drom.ru;31;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-43118-benzovoz-atz-tnvd-jazda-53765111.html;2020;АВАНТАЖ;Truck;5176003;3950000;;
drom.ru;10;MAN;https://spec.drom.ru/krasnodar/truck/truck-tractor/man-tgx-18.400-4h2-bls-tjagach-b-u-2017-g-189-620-km-85305477.html;2017;TECHNIKA;Truck;5045977;4570000;;
drom.ru;17;KAMAZ;https://spec.drom.ru/nizhnii-novgorod/truck/truck-tractor/gazodizelnyj-kamaz-5490-neo-86131701.html;2018;М7 ТРАК;Truck;4206160;3575000;;
drom.ru;25;KAMAZ;https://spec.drom.ru/zavodoukovsk/truck/truck-tractor/kamaz-53504-50-belyj-sever-79652683.html;2019;;Truck;4978053;3980000;;
drom.ru;18;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/gruzovoj-tjagach-sedelnyj-kamaz-43118-rs-vezdehod-77469335.html;2020;;Truck;5176003;4380000;;
drom.ru;41;MAZ;https://spec.drom.ru/moskva/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-maz-6430s9-2018-goda-84876214.html;2018;Форсаж;Truck;3467353;2450000;;
drom.ru;36;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2016-g-v-86714997.html;2016;;Truck;2279510;1670000;;
drom.ru;76;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-75232495.html;2019;;Truck;4978053;2820000;;
drom.ru;34;KAMAZ;https://spec.drom.ru/tomsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-7010-48-86830728.html;2020;РусБизнесАвто;Truck;5040171;3750000;;
drom.ru;39;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/kamaz-43118-tjagach-probeg-30-tys-km-83067837.html;2017;ООО УралСпецКран;Truck;3986932;2850000;;
drom.ru;35;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/sedelnyj-tjagach-kamaz-65116-77784066.html;2020;;Truck;5040171;3730000;;
drom.ru;16;KAMAZ;https://spec.drom.ru/moskva/truck/truck-tractor/kamaz-5490-s5-neo-gazodizel-83257069.html;2018;;Truck;4206160;3599000;;
drom.ru;20;MAZ;https://spec.drom.ru/ryazan/truck/truck-tractor/tjagach-86553301.html;2018;;Truck;3085797;2570000;;
drom.ru;54;KAMAZ;https://spec.drom.ru/strezhevoi/truck/truck-tractor/sedelnyj-tjagach-kamaz-44108-vezdehod-novyj-85989267.html;2020;;Truck;5176003;3350000;;
drom.ru;41;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-53504-tjagach-vezdehod-72176662.html;2020;АВАНТАЖ;Truck;5176003;3670000;;
drom.ru;11;KAMAZ;https://spec.drom.ru/chelyabinsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-5490-s5-2015-g-v-80673746.html;2015;;Truck;1870492;1680000;;
drom.ru;40;MAZ;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-sedelnyj-maz-probeg-148141-85584148.html;2017;;Truck;2521811;1800000;;
drom.ru;18;KAMAZ;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44018-70838792.html;2015;;Truck;2847182;2400000;;
drom.ru;113;KAMAZ;https://spec.drom.ru/kazan/truck/truck-tractor/kamaz-5490-s5-86538498.html;2017;;Truck;3162823;1480000;;
drom.ru;19;MAN;https://spec.drom.ru/lyubertsy/truck/truck-tractor/sedelnyj-tjagach-man-tgx-18.400-4x2-bls-86465468.html;2018;;Truck;5788912;4850000;;
drom.ru;44;KAMAZ;https://spec.drom.ru/miass/truck/truck-tractor/sedelnyj-tjagach-kamaz-43118-6h6-spalnik-vezdehod-2017-83358636.html;2017;;Truck;3986932;2750000;;
