Тип ТС;Марка;Модель;Год выпуска;Цена поставщика;Регион склада;URL авто;Пробег;Тип КПП;Колесная формула;Мощность двигателя;Сидений;Спальных мест;Поставщик;Наша расчетная цена;Выгода;Рекомендация;Мин. аванс;Лизинговый платеж 0% / 48 мес.;Федеральный округ;Цена с НДС;Comment;Качество верификации;Верификация
Шторный;Kögel;S24;2017;2199000;Омск;https://auto.ru/trailer/used/sale/kogel/s24/16681098-a736d22e/;350000;;;;;;;1870000;-329000;Цена завышена - можно поторговаться;30;70000;СФО;;;;
Шторный;Krone;SD;2017;2200000;Москва;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;160000;;;;;;Группа ГРАССМАНН и ЛОМТЕВ;1920000;-280000;Цена завышена - можно поторговаться;20;70000;ЦФО;Цена с НДС;;;ok
Шторный;Kögel;S24;2018;2340000;Людиново;https://auto.ru/trailer/used/sale/kogel/s24/16678326-fb950612/;240000;;;;;;;1930000;-410000;Цена завышена - можно поторговаться;30;75000;ЦФО;;;;
Рефрижератор;Krone;SD;2017;4320000;Кимовск;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;;;;;;;Юнион КРОНЕ Кимовск;4110000;-210000;Цена завышена - можно поторговаться;20;138000;ЦФО;;;;
Рефрижератор;Schmitz Cargobull;SKO;2015;3450000;Невинномысск;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16670128-47400ab0/;7000;;;;;;;3240000;-210000;Цена завышена - можно поторговаться;20;110000;;;;;
Бортовой;Тонар;9746;2017;1350000;Красноярск;https://auto.ru/trailer/used/sale/tonar/9746/16648850-427a4394/;80000;;;;;;;1060000;-290000;Цена завышена - можно поторговаться;40;43000;СФО;;;;
Шторный;Schmitz Cargobull;SPR;2018;2230000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16622544-e265c459/;180000;;;;;;Триера Трак;1970000;-260000;Цена завышена - можно поторговаться;20;71000;ЦФО;Цена с НДС;;;ok
Шторный;Schmitz Cargobull;SCB;2016;1750000;Дубровки;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622512-dca21074/;41000;;;;;;Триера Трак;1810000;60000;;10;56000;ЦФО;Цена с НДС;;;ok
Бортовой;Schmitz Cargobull;SPR;2015;1050000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16677832-1d8c6253/;700000;;;;;;;1180000;130000;Горячая цена! Срочно брать!;0;34000;ЦФО;;В связи с плановым обновлением автопарка продается полуприцеп Schmitz SPR24  2015 г в   объем 100 105м3  высота регулируется   размер резины 385х55хR19 5  Мешок  крыша не сдвижная   тент  борт  клапан  оси Schmitz  дисковые тормоза  корзина под запаску  запаска  инструментальный ящик  противооткатники  Можно использовать  как открытый бортовой полуприцеп или площадку  Отличное состояние  Цена 1 050 000 руб   без НДС   торг при осмотре  В наличии несколько полуприцепов  Посредников и стоянки просьба не беспокоить  полуприцеп на реализацию ставиться не будет;0,33729;ok
Рефрижератор;Schmitz Cargobull;SKO;2018;5030000;Москва;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577320-d716ef2a/;;;;;;;ClassTrucks;4360000;-670000;Цена завышена - можно поторговаться;30;161000;ЦФО;;;;
