Тип ТС,Марка,Модель,Год выпуска,Цена поставщика,Регион склада,URL авто,Пробег,Тип КПП,Колесная формула,Мощность двигателя,Сидений,Спальных мест,Поставщик,Наша расчетная цена,Выгода,Рекомендация,Мин. аванс,Лизинговый платеж 0% / 48 мес.,Федеральный округ,Цена с НДС,Comment,Качество верификации,Верификация
Тягач,Scania,G400,2016,500000,Абакан,https://spec.drom.ru/abakan/truck/truck-tractor/scania-g-400-6x4-61094664.html,,,6x4,,,,,4850000,4350000,Горячая цена! Срочно брать!,0,16000.0,,,,"0,35139",unclear
Тягач,MAN,SX4255NT324,2016,1600000,Иркутск,https://spec.drom.ru/irkutsk/truck/truck-tractor/sedelnyj-tjagach-lesovoz-84939527.html,,,6x6,,,,,4720000,3120000,Горячая цена! Срочно брать!,0,51000.0,СФО,,,"0,3721",unclear
Тягач,КамАЗ,44108,2019,1950000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-75336132.html,,,6x6,,,,,4980000,3030000,Горячая цена! Срочно брать!,0,62000.0,ПФО,,,"0,38344",unclear
Тягач,КамАЗ,6460,2019,2100000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-6460-78792712.html,,,6x4,,,,,4800000,2700000,Горячая цена! Срочно брать!,0,67000.0,ПФО,,,"0,38344",unclear
Тягач,Scania,G-series,2017,5000000,Москва,https://auto.ru/artic/used/sale/scania/g/16711286-4ea9185b/,700000.0,AT,6x2,400.0,2.0,0.0,АвтоБан,7620000,2620000,Горячая цена! Срочно брать!,0,160000.0,ЦФО,Цена с НДС,Седельный тягач Скания G400  Швеция  в колесной формуле 6х2  подъемная ось по середине   двигатель стандарта евро 4  мощность 400 л  с   КПП автомат   топливная система PDE  подвеска на пневмо   средняя и задняя ось  кабина дневная без спальника  в наличии более десяти единиц  по всему кругу резина КАМА от 60 до 70  остатка  обслуживание проходило у официального дилера Скания Голицыно  техника гидрофицирована под работу с самосвальными полуприцепами,"0,46973",ok
Тягач,Volvo,,2017,3250000,Санкт-Петербург,https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/volvo-fh-460-88951871.html,,,4x2,,,,,5740000,2490000,Горячая цена! Срочно брать!,0,104000.0,СЗФО,,,"0,425",unclear
Тягач,КамАЗ,6460-73,2017,1050000,Ноябрьск,https://spec.drom.ru/noyabrsk/truck/truck-tractor/sedelnyj-tjagach-kamaz-6460-73-88947569.html,,,6x4,,,,,3530000,2480000,Горячая цена! Срочно брать!,0,,,,,"0,39842",unclear
Тягач,Mercedes-Benz,Actros,2018,3500000,Хабаровск,https://spec.drom.ru/khabarovsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-mercedes-actros-89306679.html,,,6x6,,,,"ООО ""Грандинвест""",5980000,2480000,Горячая цена! Срочно брать!,0,112000.0,,,,"0,31434",unclear
Тягач,КамАЗ,43118 Сайгак,2020,2790000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-44108-53504-tjagach-vezdehod-75457458.html,,,6x6,,,,АВАНТАЖ,5180000,2390000,Горячая цена! Срочно брать!,0,89000.0,ПФО,,,"0,34473",unclear
Тягач,КамАЗ,65116,2020,2650000,Набережные Челны,https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/kamaz-65116-dvs-280-kpp-zf9-75360221.html,,,6x4,,,,,5040000,2390000,Горячая цена! Срочно брать!,0,85000.0,ПФО,,,"0,34473",unclear
