Model,URL,Year,Price,Mileage,VehicleType,Make,Supplier,VATIncluded,Location,Price,confidence
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16629238-df27329f/,2012,2500000,1000000,Refrigerator,SCHMITZ CARGOBULL,,,Санкт-Петербург,2457466.40982,486060.58804
SD,https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/,2017,2200000,160000,Curtainsider,KRONE,Группа ГРАССМАНН и ЛОМТЕВ,Цена с НДС,Москва,1923131.42556,219253.37516
SCS Mega,https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16632264-14f06995/,2013,1400171,650000,Curtainsider,SCHMITZ CARGOBULL,,,Смоленская область,1171238.34742,253177.69435
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16639058-a1de0f74/,2017,4630000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Москва,4245168.68554,603268.58292
Kassbohrer,https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16618076-a175eb15/,2012,950000,500000,Curtainsider,KAESSBOHRER,,,Казань,1081866.3732,250834.8224
SDR 27,https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/,2004,1050000,,Refrigerator,KRONE,,,Томск,1288279.16541,657508.63415
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16616464-8a1ccc70/,2006,350000,399000,Curtainsider,SCHMITZ CARGOBULL,ТРАК ПЛАТФОРМА,,Люберцы,700265.26046,177638.94448
SD,https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/,2017,4320000,,Refrigerator,KRONE,Юнион КРОНЕ Кимовск,,Кимовск,4108154.49188,641551.64248
SD,https://auto.ru/trailer/used/sale/krone/sd/16276444-66550df3/,2008,780000,10000,Curtainsider,KRONE,Глобал Трак Сейлс Москва,,Зеленоград,743549.67841,189010.40707
SD,https://auto.ru/trailer/used/sale/krone/sd/16639854-82366db0/,2007,650000,111111,Curtainsider,KRONE,,,Нижний Новгород,717472.97851,183207.10197
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16570948-8f1976ec/,2008,949000,,Curtainsider,SCHMITZ CARGOBULL,GROSS AUTO,,Москва,742398.15738,191393.11811
Profi Liner,https://auto.ru/trailer/used/sale/krone/profi_liner/16596116-261c0cbb/,2017,2000000,100000,Curtainsider,KRONE,M7 TRUCK Санкт-Петербург,Цена с НДС,Санкт-Петербург,1930110.59467,217383.43832
9746,https://auto.ru/trailer/used/sale/tonar/9746/16648850-427a4394/,2017,1350000,80000,Platform,TONAR,,,Красноярск,1063235.88875,691918.78855
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456238-f14198c4/,2010,2300000,,Refrigerator,SCHMITZ CARGOBULL,Юнион КРОНЕ Кимовск,,Кимовск,2069540.99296,682543.48709
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16555916-fe3827fa/,2008,1900000,,Refrigerator,SCHMITZ CARGOBULL,,,Брянск,1799690.02936,446100.28874
SKO,https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16644430-995b14ca/,2017,4640000,,Refrigerator,SCHMITZ CARGOBULL,ClassTrucks,,Екатеринбург,4245168.68554,603268.58292
S01,https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16452278-cc963d51/,2007,790000,740245,Platform,SCHMITZ CARGOBULL,АГТ-Трейдинг,,Москва,705969.60865,192177.36097
SV24,https://auto.ru/trailer/used/sale/kogel/sv24/16643770-8c872a33/,2014,3100000,100000,Refrigerator,KOGEL,,,Москва,3325034.73301,341589.01222
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16622544-e265c459/,2018,2230000,180000,Curtainsider,SCHMITZ CARGOBULL,Триера Трак,Цена с НДС,Дубровки,1971762.97958,290079.29727
SN24,https://auto.ru/trailer/used/sale/kogel/sn24/16466976-7ae5b1a2/,2013,1370000,,Curtainsider,KOGEL,,,Челябинск,1138008.88075,241730.96146
SD,https://auto.ru/trailer/used/sale/krone/sd/15983512-26fc8ce9/,2008,2300000,,Refrigerator,KRONE,,,Екатеринбург,1637526.36836,495812.01314
SPR,https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16557908-a6679f52/,2008,780000,,Platform,SCHMITZ CARGOBULL,GROSS AUTO,,Москва,732706.33395,199351.25263
S24,https://auto.ru/trailer/used/sale/kogel/s24/16353522-b7c2158d/,2014,3700000,50000,Refrigerator,KOGEL,,,Самара,3325034.73301,341589.01222
