Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16664646-edfc505b/;2014;3400000;;Refrigerator;SCHMITZ CARGOBULL;;;Горки
SD;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;2017;2200000;160000;Curtainsider;KRONE;Группа ГРАССМАНН и ЛОМТЕВ;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16715501-a9b5e7cb/;2007;690000;500000;Platform;SCHMITZ CARGOBULL;;;Орёл
SD;https://auto.ru/trailer/used/sale/krone/sd/16704376-49a866e7/;2007;900000;;Curtainsider;KRONE;;;Нижний Новгород
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16681172-ba947539/;2008;1798000;200000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Москва;;Чёрная Грязь
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16680504-cb9aaa76/;2006;430000;200000;Platform;KRONE;M7 TRUCK Санкт-Петербург;;Санкт-Петербург
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;2004;1050000;;Refrigerator;KRONE;;;Томск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717794-e6b8076f/;2011;2950000;565121;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16717596-d7c300ca/;2018;4485000;350000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Казань;;Новониколаевский
S24;https://auto.ru/trailer/used/sale/kogel/s24/16678326-fb950612/;2018;2340000;240000;Curtainsider;KOGEL;;;Людиново
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16679328-d2916d23/;2008;570000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
