Mileage,VehicleType,HP,Make,VATIncluded,CabSeats,URL,Gear,Table Names,Formula,Year,Price,Model,Supplier,CabBeds,Location,Price
532321,Truck,435,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/actros_t/16495624-a80e00ab/,AT,autoru - trucks.csv,4x2,2016,4550000,Actros,PRO АВТО,2,Люберцы,3995278.32581
400,Truck,250,MAZ,,2,https://auto.ru/artic/used/sale/maz/5432/16420428-b9f80fc9/,MT,autoru - trucks.csv,4x2,2007,400000,5432,,2,Нижний Новгород,493938.72261
1400000,Truck,420,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/vnm_tractor/15846574-c0a883b2/,,autoru - trucks.csv,4x2,2004,700000,VNM,,1,Орёл,1344564.1654
636000,Truck,460,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fh_tractor/16627160-6c0ecfdc/,AT,autoru - trucks.csv,4x2,2016,4900000,FH,,2,Москва,4284670.03174
630000,Truck,380,IVECO,Цена с НДС,2,https://auto.ru/artic/used/sale/iveco/trakker_tractor/16580662-2036d49f/,MT,autoru - trucks.csv,6x4,2011,1650000,Trakker,ЕвроТрак Mercedes-Benz Пермь,1,Пермь,1996148.92524
200000,Truck,330,MAZ,,2,https://auto.ru/artic/used/sale/maz/5432/16496978-88cb5702/,,autoru - trucks.csv,,2004,480000,5432,,2,Димитровград,235532.87099
300000,Truck,250,MAZ,,,https://auto.ru/artic/used/sale/maz/5432/16539804-ccf3c4f1/,MT,autoru - trucks.csv,4x2,2004,295000,5432,,,Кушнаренково,361157.39891
250000,Truck,281,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/65116/16295870-7226b9d1/,MT,autoru - trucks.csv,6x4,2012,780000,65116,,1,Первоуральск,1327542.2673
670,Truck,430,DAF,,,https://auto.ru/artic/used/sale/daf/xf95/16022558-30f05932/,,autoru - trucks.csv,,2001,1000000,95XF,,,Валуйки,1545180.30062
780930,Truck,420,SCANIA,,2,https://auto.ru/artic/used/sale/scania/r_1/16586228-8bf88b14/,MT,autoru - trucks.csv,4x2,2011,2775000,R-Series,Юнион КРОНЕ Кимовск,2,Кимовск,2557444.26904
1385901,Truck,400,VOLVO,,2,https://auto.ru/artic/used/sale/volvo/fm_tractor/16532942-55f44529/,MT,autoru - trucks.csv,4x2,2007,1280000,FM,Global Truck Sales Москва Север,1,Зеленоград,1536282.31239
590000,Truck,410,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16076876-b6936261/,MT,autoru - trucks.csv,4x2,2011,950000,5440,,2,Орёл,1131965.84586
426000,Truck,310,MAZ,,2,https://auto.ru/artic/used/sale/maz/5440/16594498-01d9c5db/,MT,autoru - trucks.csv,4x2,2013,590000,5440,ООО СПК-ТРАНС,2,Санкт-Петербург,1279454.23761
424000,Truck,330,MAZ,,,https://auto.ru/artic/used/sale/maz/5440/16324632-975948d0/,MT,autoru - trucks.csv,4x2,2012,1450000,5440,,,Углич,847587.76779
800000,Truck,430,IVECO,,2,https://auto.ru/artic/used/sale/iveco/stralis_tractor/16052288-ebce867d/,MT,autoru - trucks.csv,,2005,900000,Stralis,,2,Ростов-на-Дону,1368741.26047
1500000,Truck,360,SCANIA,,2,https://auto.ru/artic/used/sale/scania/l/16469974-d878e073/,MT,autoru - trucks.csv,4x2,2000,1680000,4-Series,,2,Белгород,1062734.59665
185000,Truck,411,MAZ,,2,https://auto.ru/artic/used/sale/maz/6430/16616528-af7a84dd/,MT,autoru - trucks.csv,6x4,2013,2300000,6430,,2,Свободный,1896515.10479
2000000,Truck,370,FREIGHTLINER,,2,https://auto.ru/artic/used/sale/freightliner/fld/16535438-a5677ede/,MT,autoru - trucks.csv,6x4,2001,1200000,FLD,,2,Екатеринбург,848243.19733
30000,Truck,300,KAMAZ,,2,https://auto.ru/artic/used/sale/kamaz/43118_tyagach/16461650-66417015/,MT,autoru - trucks.csv,6x6,2017,2850000,43118,ООО УралСпецКран,1,Миасс,3339612.58305
980000,Truck,390,MAN,,2,https://auto.ru/artic/used/sale/man/tga_1/16612726-f0544487/,MT,autoru - trucks.csv,4x2,2008,1590000,TGA,,2,Тверь,1666056.26719
1200000,Truck,396,MERCEDES,,2,https://auto.ru/artic/used/sale/mercedes/actros_t/16607544-177f66c3/,AT,autoru - trucks.csv,4x2,2002,690000,Actros,,2,Москва,1349748.95049
685741,Truck,410,DAF,,2,https://auto.ru/artic/used/sale/daf/xf105/16571040-06d19359/,MT,autoru - trucks.csv,4x2,2014,2990000,XF105,,2,Чебоксары,3068943.15586
