Mileage;VehicleType;HP;Make;VATIncluded;CabSeats;URL;Gear;Table Names;Formula;Year;Price;Model;Supplier;CabBeds;Location
;Truck;;KAMAZ;;;https://spec.drom.ru/usinsk/truck/truck-tractor/prodazha-kamaza-88250123.html;;drom - trucks.csv;6x6;2013;2000000;5350;;;Усинск
;Truck;;MAN;;;https://spec.drom.ru/ust-ilimsk/truck/truck-tractor/prodam-scepku-88261381.html;;drom - trucks.csv;6x4;2011;1350000;;;;Усть-Илимск
;Truck;;IVECO;;;https://spec.drom.ru/vladivostok/truck/truck-tractor/prodam-sedelnyj-tjagach-86329096.html;;drom - trucks.csv;6x6;2009;1500000;amt 633910;;;Владивосток
;Truck;;SCANIA;;;https://spec.drom.ru/barnaul/truck/truck-tractor/sedelnyj-tjagach-scania-p360-s-nds-v-barnaule-86572277.html;;drom - trucks.csv;4x2;2015;3550000;P360;;;Барнаул
;Truck;;KAMAZ;;;https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-kamaz-5490-86847543.html;;drom - trucks.csv;4x2;2013;1390000;5490;;;Краснодар
;Truck;;SCANIA;;;https://spec.drom.ru/ioshkar-ola/truck/truck-tractor/scepka-tjagach-i-polupricep-scania-skanija-p114-2006-88205792.html;;drom - trucks.csv;4x2;2006;1390000;P114;;;Йошкар-Ола
;Truck;;KAMAZ;;;https://spec.drom.ru/surgut/truck/truck-tractor/kamaz-44108-10-s-t-86197988.html;;drom - trucks.csv;6x6;2008;615000;44108;"ПАО ""Сургутнефтегаз""";;Сургут
;Truck;;KAMAZ;;;https://spec.drom.ru/naberezhnye-chelny/truck/truck-tractor/sedelnyj-tjagach-vezdehod-povyshennoj-gruzopodemnosti-kamaz-65221-76773389.html;;drom - trucks.csv;6x6;2019;5632000;65221 односкатный вездеход тягач седельный;;;Набережные Челны
;Truck;;MAN;;;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-man-tgs-33.440-6h4-2014-g-v-80524750.html;;drom - trucks.csv;6x4;2014;3290000;TGS 33.440;Global Truck Sales;;Екатеринбург
;Truck;;SCANIA;;;https://spec.drom.ru/neryungri/truck/truck-tractor/prodaetsja-scania-r380-60182542.html;;drom - trucks.csv;6x4;2008;2900000;P380;;;Нерюнгри
;Truck;;MAN;;;https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-man-33.430-6x4-87808086.html;;drom - trucks.csv;6x4;2008;2500000;TGA 33.430;;;Красноярск
;Truck;;DAF;;;https://spec.drom.ru/sankt-peterburg/truck/truck-tractor/sedelnyj-tjagach-daf-2014-g-v-87659126.html;;drom - trucks.csv;4x2;2014;3100000;;;;Санкт-Петербург
;Truck;;MAN;;;https://spec.drom.ru/barnaul/truck/truck-tractor/prodaetsja-man-f2000-83869064.html;;drom - trucks.csv;4x2;2000;650000;F;;;Барнаул
;Truck;;MERCEDES;;;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/sedelnyj-tjagach-mercedes-benz-axor-1835-ls-2011-g-v-87298811.html;;drom - trucks.csv;4x2;2011;1490000;Axor 1835 LS;Global Truck Sales;;Екатеринбург
;Truck;;IVECO;;;https://spec.drom.ru/komsomolsk-na-amure/truck/truck-tractor/prodaetsja-tjagach-sedelnyj-iveco-amt-633910-86238521.html;;drom - trucks.csv;6x6;2014;5350000;;ООО Дальинтерлес;;Комсомольск-на-Амуре
;Truck;;MAZ;;;https://spec.drom.ru/ishim/truck/truck-tractor/prodaetsja-tjagach-maz-87041949.html;;drom - trucks.csv;4x2;2006;1150000;544008-060-031;;;Ишим
;Truck;;KAMAZ;;;https://spec.drom.ru/ekaterinburg/truck/truck-tractor/tjagach-kamaz-44108-10-12.2009-g-hts-s-pp-nefaz-13-m-77199696.html;;drom - trucks.csv;6x6;2009;1590000;44108;;;Екатеринбург
;Truck;;SCANIA;;;https://spec.drom.ru/ussuriisk/truck/truck-tractor/prodam-skanija-78882817.html;;drom - trucks.csv;6x2;2003;2500000;;;;Уссурийск
;Truck;;MAZ;;;https://spec.drom.ru/moskva/truck/truck-tractor/motor-mercedes-om457la-kpp-zf-pnevma-v-nalichii-maz-5440e8-67563598.html;;drom - trucks.csv;4x2;2019;4520000;5440;;;Москва
;Truck;;MERCEDES;;;https://spec.drom.ru/krasnodar/truck/truck-tractor/tjagach-mercedes-actros-25.48-88746872.html;;drom - trucks.csv;6x2;2015;4650000;Actros;;;Краснодар
;Truck;;FREIGHTLINER;;;https://spec.drom.ru/nakhodka/truck/truck-tractor/prodam-frieghtliner-columbia-75811980.html;;drom - trucks.csv;6x4;2002;2100000;Columbia;;;Находка
;Truck;;MERCEDES;;;https://spec.drom.ru/perm/truck/truck-tractor/sedelnyj-tjagach-mercedes-benz-axor-1840-ls-2014-g-v-86870851.html;;drom - trucks.csv;4x2;2014;2490000;Axor 1840 LS;;;Пермь
