Model;URL;Year;Price;Mileage;VehicleType;Make;Supplier;VATIncluded;Location
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16601912-b4ba5a99/;2012;1200000;;Curtainsider;KOGEL;Global Truck Sales Москва Север;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16629238-df27329f/;2012;2500000;1000000;Refrigerator;SCHMITZ CARGOBULL;;;Санкт-Петербург
SD;https://auto.ru/trailer/used/sale/krone/sd/16128956-35641e19/;2017;2200000;160000;Curtainsider;KRONE;Группа ГРАССМАНН и ЛОМТЕВ;Цена с НДС;Москва
SCS Mega;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16632264-14f06995/;2013;1373405;650000;Curtainsider;SCHMITZ CARGOBULL;;;Смоленская область
SD;https://auto.ru/trailer/used/sale/krone/sd/16636122-b6296f0e/;2013;1400000;100000;Curtainsider;KRONE;;;Супонево
Kassbohrer;https://auto.ru/trailer/used/sale/kaessbohrer/kaessbohrer/16618076-a175eb15/;2012;950000;500000;Curtainsider;KAESSBOHRER;;;Казань
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16591160-f8a48fbb/;2004;1050000;;Refrigerator;KRONE;;;Томск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16616464-8a1ccc70/;2006;350000;399000;Curtainsider;SCHMITZ CARGOBULL;ТРАК ПЛАТФОРМА;;Люберцы
SD;https://auto.ru/trailer/used/sale/krone/sd/16461996-f4fd6386/;2017;4320000;;Refrigerator;KRONE;Юнион КРОНЕ Кимовск;;Кимовск
SDC 27;https://auto.ru/trailer/used/sale/krone/sdc_27/16602678-f7f5dc07/;2012;1230000;;Curtainsider;KRONE;;;Донецк
SD;https://auto.ru/trailer/used/sale/krone/sd/16276444-66550df3/;2008;780000;10000;Curtainsider;KRONE;Global Truck Sales Москва Север;;Зеленоград
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16570948-8f1976ec/;2008;949000;;Curtainsider;SCHMITZ CARGOBULL;GROSS AUTO;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577070-0ae3f9cd/;2006;1850000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Шадринск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16606492-12f1807a/;2018;4700000;200000;Refrigerator;SCHMITZ CARGOBULL;;;Владивосток
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16596116-261c0cbb/;2017;2000000;100000;Curtainsider;KRONE;M7 TRUCK Санкт-Петербург;Цена с НДС;Санкт-Петербург
SD;https://auto.ru/trailer/used/sale/krone/sd/16585344-aae9c816/;2016;1880000;50000;Curtainsider;KRONE;;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16456238-f14198c4/;2010;2300000;;Refrigerator;SCHMITZ CARGOBULL;Юнион КРОНЕ Кимовск;;Кимовск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16555916-fe3827fa/;2008;1900000;;Refrigerator;SCHMITZ CARGOBULL;;;Брянск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16452278-cc963d51/;2007;790000;740245;Platform;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16597170-37b57701/;2005;599000;1000;Curtainsider;SCHMITZ CARGOBULL;КОМПАНИЯ АВТОМОБИЛИЯ;;Ярославль
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16622544-e265c459/;2018;2230000;180000;Curtainsider;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
SD;https://auto.ru/trailer/used/sale/krone/sd/15983512-26fc8ce9/;2008;2300000;;Refrigerator;KRONE;;;Екатеринбург
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16557908-a6679f52/;2008;780000;;Platform;SCHMITZ CARGOBULL;GROSS AUTO;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16626490-a7903c46/;2008;1800000;1000000;Refrigerator;SCHMITZ CARGOBULL;;;Брянск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16630676-7c21beff/;2017;4390000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Екатеринбург
SVKT24;https://auto.ru/trailer/used/sale/kogel/svkt24/10644625-8ed3ce07/;2002;790000;550000;Refrigerator;KOGEL;;;Евпатория
S24;https://auto.ru/trailer/used/sale/kogel/s24/16353522-b7c2158d/;2014;3700000;50000;Refrigerator;KOGEL;;;Самара
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16494818-6512db29/;2002;1350000;;Refrigerator;SCHMITZ CARGOBULL;;;Омск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16610522-f03b15d7/;2016;1860000;70000;Curtainsider;KRONE;АЛЬГА;Цена с НДС;Санкт-Петербург
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622512-dca21074/;2016;1750000;41000;Curtainsider;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16619212-ac9d78a6/;2011;1260000;700;Curtainsider;SCHMITZ CARGOBULL;;;Красноярск
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16527434-7bdbb3de/;2017;1950000;;Curtainsider;SCHMITZ CARGOBULL;Global Truck Sales Москва Север;;Зеленоград
S24;https://auto.ru/trailer/used/sale/kogel/s24/16616742-a1c133e8/;2012;1190000;10;Curtainsider;KOGEL;700 МАШИН;;Елино
SD;https://auto.ru/trailer/used/sale/krone/sd/15855332-6b40241b/;2014;1700000;121000;Curtainsider;KRONE;ТРАНСАЛЬЯНС Москва;;Солнечногорск
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16331576-888f8bff/;2009;850000;100;Platform;KOGEL;;;Дорогобуж
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16577320-d716ef2a/;2018;4770000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16474236-1a08c790/;2017;1950000;150000;Curtainsider;KRONE;Группа Милан;;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16559270-9a27dd55/;2011;2350000;659000;Refrigerator;SCHMITZ CARGOBULL;;;Ростов-на-Дону
Krone;https://auto.ru/trailer/used/sale/krone/krone/16621604-a18c7129/;2007;750000;120000;Curtainsider;KRONE;;;Санкт-Петербург
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16511188-f10326e5/;2012;1100000;400000;Curtainsider;KOGEL;;;Москва и Московская область
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16593274-be955f79/;2007;650000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16618998-e3cf11c5/;2004;1050000;;Refrigerator;SCHMITZ CARGOBULL;;;Омск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16557672-2665602f/;2007;780000;;Curtainsider;KRONE;GROSS AUTO;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16429814-570f1779/;2004;1530000;650000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16631292-956beefd/;2015;1150000;600000;Curtainsider;KOGEL;;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16618174-bcb6c58a/;2018;2400000;105000;Curtainsider;KRONE;Группа Милан;Цена с НДС;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16589958-9a283e37/;2010;990000;500000;Platform;SCHMITZ CARGOBULL;700 МАШИН;;Елино
SD;https://auto.ru/trailer/used/sale/krone/sd/16318138-986679e9/;2008;1699999;;Refrigerator;KRONE;;;Хабаровск
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16600412-4a30a5e9/;2008;850000;750000;Platform;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
NS;https://auto.ru/trailer/used/sale/wielton/ns/16636226-b26fdad0/;2014;1000000;1000000;Curtainsider;WIELTON;;;Смоленск
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622538-5a6df6db/;2018;2290000;44000;Curtainsider;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16635410-6048e62d/;2014;2500000;300000;Refrigerator;SCHMITZ CARGOBULL;CargoLine group;Цена с НДС;Ольша
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16578914-88b7c4c7/;2015;3700000;350000;Refrigerator;SCHMITZ CARGOBULL;Транзит-Дон Москва;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16607762-74a1086d/;2018;2300000;120000;Curtainsider;SCHMITZ CARGOBULL;Вираж;Цена с НДС;Санкт-Петербург
SD;https://auto.ru/trailer/used/sale/krone/sd/16635570-5fa93ad8/;2017;2295000;555392;Curtainsider;KRONE;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16517046-ae2589b5/;2005;1600000;;Refrigerator;SCHMITZ CARGOBULL;;;Ейск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16619396-0c874244/;2017;4250000;50000;Refrigerator;SCHMITZ CARGOBULL;M7 TRUCK Санкт-Петербург;Цена с НДС;Санкт-Петербург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16628740-ed016bb1/;2006;2520000;780000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SCS Mega;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16607372-6de7712f/;2015;1399777;650000;Curtainsider;SCHMITZ CARGOBULL;ТТ777;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612764-2d656006/;2004;1300000;20000;Refrigerator;SCHMITZ CARGOBULL;;;Волгоград
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16567408-d082ea7f/;2011;2550000;990000;Refrigerator;SCHMITZ CARGOBULL;Монополия;Цена с НДС;Санкт-Петербург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16487446-fbda2662/;2007;680000;780000;Curtainsider;SCHMITZ CARGOBULL;Транзит-Дон Гипермаркет;;Ростов-на-Дону
SD;https://auto.ru/trailer/used/sale/krone/sd/16635452-488d1fce/;2017;2300000;400000;Curtainsider;KRONE;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16544351-73f22476/;2001;1200000;;Refrigerator;SCHMITZ CARGOBULL;;;Екатеринбург
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16088414-81979c12/;2012;1200000;500000;Platform;KOGEL;СибТракСкан;;Новосибирск
SD;https://auto.ru/trailer/used/sale/krone/sd/16275240-ac4856f7/;2017;1990000;;Curtainsider;KRONE;Группа Милан;;Санкт-Петербург
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16553610-b0ba0579/;2007;780000;300000;Curtainsider;KRONE;M7 TRUCK Набережные Челны;;Набережные Челны
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16624998-522090d0/;2013;1950000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Казань
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16387516-55888ecb/;2012;1250000;;Curtainsider;SCHMITZ CARGOBULL;СибТракСкан;;Новосибирск
Cool Liner;https://auto.ru/trailer/used/sale/krone/cool_liner/16622400-34ab33b6/;2012;2660000;680000;Refrigerator;KRONE;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16621430-d2f6e9fb/;2016;3800000;320000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16613506-4ddc3a27/;2005;985000;;Refrigerator;SCHMITZ CARGOBULL;;;Красноярск
SD;https://auto.ru/trailer/used/sale/krone/sd/16611114-747d4d9b/;2005;650000;600000;Platform;KRONE;;;Санкт-Петербург
SCS Mega;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs_mega/16617954-e4b45dd9/;2015;1347777;610000;Curtainsider;SCHMITZ CARGOBULL;ТТ777;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16568894-990d5750/;2018;4300000;;Refrigerator;SCHMITZ CARGOBULL;Альфа-Лизинг Москва;;Красногорск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16476146-cf514188/;2017;4450000;;Refrigerator;SCHMITZ CARGOBULL;SGM-GROUP;;Москва
SV24;https://auto.ru/trailer/used/sale/kogel/sv24/16568436-eb2e74c3/;2008;1510000;;Refrigerator;KOGEL;ГРУЗ СОЮЗ;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16287894-849b80f7/;2007;930000;;Curtainsider;KRONE;Восток;;Санкт-Петербург
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16631316-d225cf0e/;2018;2390000;120000;Curtainsider;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/16627122-372da9af/;2006;650000;;Curtainsider;SCHMITZ CARGOBULL;;;Краснодар
SD;https://auto.ru/trailer/used/sale/krone/sd/16619244-3bcb050e/;2017;2100000;250000;Curtainsider;KRONE;ООО Группа Авто;Цена с НДС;Рязань
SD;https://auto.ru/trailer/used/sale/krone/sd/16604894-9ab24682/;2017;2030000;50;Curtainsider;KRONE;Юнион КРОНЕ Кимовск;;Кимовск
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16619560-56f8ac60/;2015;1637000;200000;Curtainsider;MEUSBURGER;M7 TRUCK Москва;Цена с НДС;Чёрная Грязь
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16598110-8d63656e/;2008;1050000;;Curtainsider;SCHMITZ CARGOBULL;;;Новомосковск
SD;https://auto.ru/trailer/used/sale/krone/sd/16524836-02a7a827/;2011;2000000;299000;Refrigerator;KRONE;ТРАК ПЛАТФОРМА;;Люберцы
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16402208-8991b292/;2007;735000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
SD;https://auto.ru/trailer/used/sale/krone/sd/16305682-09e600d9/;2017;1950000;270568;Curtainsider;KRONE;АГТ-Трейдинг;Цена с НДС;Москва
S24;https://auto.ru/trailer/used/sale/kogel/s24/16619562-bf9561ac/;2019;2755966;2000;Curtainsider;KOGEL;;;Екатеринбург
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16606162-8eee848f/;2008;999999;1000000;Curtainsider;SCHMITZ CARGOBULL;;;Лебедянь
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16637226-2e450222/;2004;570000;700000;Curtainsider;KRONE;;;Липецк
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16499400-fd447fd2/;2016;1750000;575000;Platform;KOGEL;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
Profi Liner;https://auto.ru/trailer/used/sale/krone/profi_liner/16482322-1e0baecd/;2008;880000;;Curtainsider;KRONE;M7 TRUCK Набережные Челны;;Набережные Челны
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16366722-e7a2bbf3/;2005;550000;;Curtainsider;SCHMITZ CARGOBULL;PRO АВТО;;Люберцы
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16571252-4164a881/;2007;1499000;;Refrigerator;SCHMITZ CARGOBULL;GROSS AUTO;Цена с НДС;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16306286-b148dff6/;2002;700000;500000;Refrigerator;SCHMITZ CARGOBULL;;;Чита
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16573646-c84747e2/;2011;990000;200000;Curtainsider;KOGEL;ТРАК ПЛАТФОРМА;;Люберцы
ZKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/zko/16133020-b8902011/;2004;300000;750000;Refrigerator;SCHMITZ CARGOBULL;;;Почеп
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16619740-5acfac77/;2012;1100000;780000;Curtainsider;KOGEL;;;Гусь-Хрустальный
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16380788-3433c74e/;2016;2050000;450000;Platform;SCHMITZ CARGOBULL;TELS Group;;Хоругвино
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16303556-f11d2478/;2016;3799999;333333;Refrigerator;SCHMITZ CARGOBULL;Вираж;;Санкт-Петербург
SPR;https://auto.ru/trailer/used/sale/schmitz_cargobull/spr/15991236-4ced652e/;2011;950000;895000;Platform;SCHMITZ CARGOBULL;РосТрансАвто Брянск;;Брянск
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16582388-a8696e85/;2006;580000;200000;Curtainsider;KRONE;ТРАК ПЛАТФОРМА;;Люберцы
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16461988-d7ffe9f9/;2014;1600000;;Curtainsider;MEUSBURGER;Global Truck Sales Екатеринбург;;Екатеринбург
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16624104-64240d59/;2005;580000;;Curtainsider;KRONE;;;Барнаул
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16562084-41bc4ad5/;2005;845000;300000;Curtainsider;KRONE;M7 TRUCK Москва;;Чёрная Грязь
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16230854-65d360be/;2005;750000;;Curtainsider;SCHMITZ CARGOBULL;;;Калуга
SD;https://auto.ru/trailer/used/sale/krone/sd/16621288-b71d5433/;2011;2250000;;Refrigerator;KRONE;Global Truck Sales Москва Север;;Москва
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16615314-90032c50/;2012;1250000;800000;Platform;KOGEL;;;Ачинск
9746;https://auto.ru/trailer/used/sale/tonar/9746/16610406-91c2e79e/;2005;295000;499000;Platform;TONAR;ТРАК ПЛАТФОРМА;;Люберцы
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16628662-2ede605e/;2000;450000;600000;Curtainsider;SCHMITZ CARGOBULL;;;Тейково
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16636534-107b8618/;2018;4300000;170000;Refrigerator;KOGEL;;;Калуга
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16587312-36574937/;2015;3500000;450000;Refrigerator;SCHMITZ CARGOBULL;Транзит-Дон Краснодар;Цена с НДС;Краснодар
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16568416-2722f517/;2014;1520000;;Curtainsider;MEUSBURGER;;;Тюмень
SD;https://auto.ru/trailer/used/sale/krone/sd/16629142-f4984345/;2017;2100000;150000;Curtainsider;KRONE;КРОНЕ СканБалт;Цена с НДС;Химки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16623430-5cadf7eb/;2017;4450000;120000;Refrigerator;SCHMITZ CARGOBULL;Мега-Транзит;Цена с НДС;Каменск-Шахтинский
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16632540-cb856d1c/;2007;810000;700000;Curtainsider;KRONE;;;Курск
9746;https://auto.ru/trailer/used/sale/tonar/9746/16602342-421fb9c9/;2013;900000;800000;Platform;TONAR;;;Белгород
SD;https://auto.ru/trailer/used/sale/krone/sd/16583200-6e88b039/;2010;1980000;;Refrigerator;KRONE;;;Можга
SCB;https://auto.ru/trailer/used/sale/schmitz_cargobull/scb/16622374-8ce0fe88/;2017;3850000;260000;Refrigerator;SCHMITZ CARGOBULL;Триера Трак;Цена с НДС;Дубровки
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16629452-73c320b7/;2012;1450000;;Curtainsider;KRONE;BS-Truck;;Набережные Челны
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16613434-b7dee896/;2011;1060000;450000;Curtainsider;KRONE;;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16567492-30b52e92/;2003;400000;;Curtainsider;SCHMITZ CARGOBULL;;;Екатеринбург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16466570-2f34e1ba/;2011;2300000;450000;Refrigerator;SCHMITZ CARGOBULL;СТТ-АВТО;;Домодедово
SD;https://auto.ru/trailer/used/sale/krone/sd/16622510-ea6fc037/;2011;1150000;;Curtainsider;KRONE;ГРУЗ СОЮЗ;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16622356-7bad53b3/;2014;3400000;540000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SKI;https://auto.ru/trailer/used/sale/schmitz_cargobull/ski/16636036-d74a2dd7/;2007;1600000;;Refrigerator;SCHMITZ CARGOBULL;;;Москва
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16308990-7d39ee6c/;2010;2600000;;Refrigerator;SCHMITZ CARGOBULL;;;Калининград
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16611208-7b8096af/;2017;3750000;280000;Refrigerator;SCHMITZ CARGOBULL;АТРАКС;;Набережные Челны
;https://auto.ru/trailer/used/sale/meusburger/tentovanniy_polupricep/16630072-0aaaf54f/;2015;1650000;380000;Curtainsider;MEUSBURGER;Триера Трак;Цена с НДС;Дубровки
S24;https://auto.ru/trailer/used/sale/kogel/s24/16629642-a659cc01/;2017;1900000;140000;Platform;KOGEL;;;Курск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16633766-0d98efcb/;2005;599000;;Curtainsider;SCHMITZ CARGOBULL;;;Челябинск
SD;https://auto.ru/trailer/used/sale/krone/sd/16628084-a3726d84/;2012;1190000;;Curtainsider;KRONE;Global Truck Sales Екатеринбург;;Екатеринбург
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16526042-94e93a06/;2006;650000;;Curtainsider;SCHMITZ CARGOBULL;;;Дюртюли
9746;https://auto.ru/trailer/used/sale/tonar/9746/16492626-cd504ea1/;2008;550000;;Refrigerator;TONAR;ГРУЗ СОЮЗ;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16616612-9040ea59/;2007;650000;;Curtainsider;KRONE;;;Нижний Новгород
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16570610-beacf274/;2018;4500000;390000;Refrigerator;SCHMITZ CARGOBULL;ГРИН ЛАЙН;;Смоленск
Krone;https://auto.ru/trailer/used/sale/krone/krone/16634146-c4f80a22/;2014;1700000;549000;Curtainsider;KRONE;ТРАНСАЛЬЯНС Москва;Цена с НДС;Солнечногорск
SDC 24;https://auto.ru/trailer/used/sale/krone/sdc_24/16603618-7ed6d5a4/;2011;980000;;Curtainsider;KRONE;;;Каменск-Шахтинский
SN24;https://auto.ru/trailer/used/sale/kogel/sn24/16520878-cb81974a/;2008;820000;100;Curtainsider;KOGEL;;;Курск
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16276792-b36f2809/;2003;1050000;;Curtainsider;SCHMITZ CARGOBULL;СпецТранс Карго;;Зеленоград
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16625668-38445749/;2004;1450000;;Refrigerator;SCHMITZ CARGOBULL;;;Истра
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16609146-9162965d/;2010;1990000;;Refrigerator;SCHMITZ CARGOBULL;Global Truck Sales Екатеринбург;Цена с НДС;Екатеринбург
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16630686-a9f5e7bf/;2017;4390000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16607430-0ce16ce3/;2006;609000;200000;Platform;SCHMITZ CARGOBULL;M7 TRUCK Москва;;Чёрная Грязь
SD;https://auto.ru/trailer/used/sale/krone/sd/16626500-d91c319e/;2017;2050000;;Curtainsider;KRONE;КРОНЕ СканБалт;Цена с НДС;Химки
SD;https://auto.ru/trailer/used/sale/krone/sd/16634294-6186c13c/;2005;780000;780000;Curtainsider;KRONE;Триера Трак;Цена с НДС;Дубровки
SDP 27;https://auto.ru/trailer/used/sale/krone/sdp_27/16153648-9d15e589/;2005;700000;;Platform;KRONE;;;Брянск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16609865-1804456f/;2010;3100000;640000;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16582298-c84aafc1/;2017;4320000;50;Refrigerator;KRONE;Юнион КРОНЕ Кимовск;;Кимовск
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16612100-d0dd848d/;2018;4730000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Москва
S24;https://auto.ru/trailer/used/sale/kogel/s24/16590468-70fc7637/;2018;4050000;;Refrigerator;KOGEL;Global Truck Sales Москва Север;;Москва
SD;https://auto.ru/trailer/used/sale/krone/sd/16552836-b49f8fbe/;2005;780000;780000;Curtainsider;KRONE;Триера Трак;Цена с НДС;Дубровки
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/16575410-f1bd8515/;2017;4620000;;Refrigerator;SCHMITZ CARGOBULL;ClassTrucks;;Тосно
S01;https://auto.ru/trailer/used/sale/schmitz_cargobull/s01/16629976-6d7c0dc2/;2004;700000;;Curtainsider;SCHMITZ CARGOBULL;;;Вязники
SKO;https://auto.ru/trailer/used/sale/schmitz_cargobull/sko/15882195-ad3fef4b/;2006;1880000;638163;Refrigerator;SCHMITZ CARGOBULL;АГТ-Трейдинг;;Москва
SDR 27;https://auto.ru/trailer/used/sale/krone/sdr_27/16291858-8dcb9f2a/;2003;750000;;Refrigerator;KRONE;;;Нижний Новгород
SCS;https://auto.ru/trailer/used/sale/schmitz_cargobull/scs/16148134-d61c8238/;2012;900000;300000;Curtainsider;SCHMITZ CARGOBULL;;;Бор
SD;https://auto.ru/trailer/used/sale/krone/sd/16369152-f2edb0dd/;2011;1820000;900000;Refrigerator;KRONE;;;Белгород
SD;https://auto.ru/trailer/used/sale/krone/sd/16565284-d8f1d0dc/;2008;800000;800000;Curtainsider;KRONE;;;Кострома
